Time (s),Growth_Factor (mM),PP2A (mM),MKP (mM),ERK_Nuclear (mM),Phase_Rest (mM),Phase_Pulse (mM),Phase_Recovery (mM),Raf_inactive (mM),Raf_active (mM),MEK_inactive (mM),MEK_PP (mM),ERK_inactive (mM),ERK_PP (mM),ATP (mM),ADP (mM),Raf_Activation (firings),ERK_Nuclear_Import (firings),ATP_Regeneration (firings),Growth_Factor_Source (firings),Growth_Factor_Degradation (firings),Raf_Degradation (firings),MEK_Degradation (firings),ERK_Nuclear_Degradation (firings),MKP_Synthesis (firings),MKP_Degradation (firings),PP2A_Synthesis (firings),Raf_Deactivation (firings),PP2A_Degradation (firings),ADP_Source (firings),ADP_Sink (firings),Start_Pulse (firings),End_Pulse (firings),Reset_Phase (firings),MEK_Phosphorylation (firings),MEK_Dephosphorylation (firings),ERK_Phosphorylation (firings),ERK_Dephosphorylation (firings)
16.848000,27.306852,20.740472,31.812383,0.271483,0.000000,1.000000,0.000000,908.940410,90.961597,769.831130,30.157191,588.859287,10.868280,4828.266393,180.241596,91.53313176976603,0.27243356897117077,2.5116787999361216,27.409342207997387,0.1024898767809043,0.09799251500060024,0.011678346740371964,0.0009509508133755063,1.6861124821584261,9.873729254211224,1.3478400000000548,0.4735421070954395,0.6073680720159002,8.424000000000207,2.427689141068293,0,0,0,30.199079446669785,0.030209801645729627,11.156997360549715,0.016284202685830095
16.902000,27.521213,20.743796,31.770283,0.278042,0.000000,1.000000,0.000000,908.151205,91.746427,769.126424,30.861717,588.577932,11.143030,4825.547127,183.020265,92.33271548286113,0.2790376285750872,2.5658537504869576,27.625344907997395,0.10413186338961018,0.10236806354128562,0.011859289888161666,0.0009958193356177539,1.6917075283787488,9.921424610190556,1.352160000000055,0.483920171153761,0.6083639907619305,8.451000000000208,2.4494611651171243,0,0,0,30.90421459032666,0.030638125705465705,11.438790912970806,0.01672316321290707
16.956000,27.735560,20.747120,31.737783,0.288194,0.000000,1.000000,0.000000,907.351587,92.541617,768.410594,31.576984,588.288942,11.421822,4822.759428,185.791847,93.13233335614709,0.28923617446833694,2.5891841381077367,27.841347607997402,0.10578743141399438,0.10679579592254694,0.012421952875644812,0.0010418962938519654,1.6973180847673888,9.959535161326258,1.3564800000000554,0.483920171153761,0.6093600617863619,8.47800000000021,2.515909468850914,0,0,0,31.620482406001447,0.031076787535678777,11.728229222401097,0.017171496821257886
17.010000,27.949061,20.751440,31.705347,0.302069,0.000000,1.000000,0.000000,907.362123,92.528860,767.695188,32.292201,587.842883,11.853959,4820.471599,188.101032,93.13233335614709,0.30315873257087395,2.6282972723677314,28.05735030799741,0.108289316995023,0.10901665497978767,0.012611414777638353,0.0010897575641740165,1.702953285008714,9.997605801840754,1.3608000000000557,0.4944563464922746,0.6093600617863619,8.50500000000021,2.5606655177983577,0,0,0,32.337661755354326,0.03284979721653347,12.174520479123903,0.017403000382278856
17.064000,28.163380,20.753767,31.691982,0.323385,0.000000,1.000000,0.000000,905.363235,94.526629,767.452936,32.533869,587.691768,11.983707,4817.725446,190.886968,95.13660361118644,0.32452484570623996,2.6754059572932096,28.273353007997418,0.10997271553812771,0.11013662323974736,0.013194124421720143,0.001140033532397967,1.7086091042490361,10.01662672229955,1.365120000000056,0.49983814756450295,0.6113530981346135,8.532000000000211,2.594991888559725,0,0,0,32.58080898807177,0.033745427894938486,12.32586922615894,0.01763694646179039
17.118000,28.376839,20.757090,31.659642,0.334205,0.000000,1.000000,0.000000,904.588299,95.300421,766.962611,33.023802,587.387308,12.277293,4815.372375,193.260323,95.93862672139981,0.3353981433288113,2.714871580995664,28.489355707997426,0.11251670368988208,0.1112804373622881,0.013587459552681614,0.0011933902223391578,1.7142858076049963,10.05464358012536,1.3694400000000564,0.5269254991944399,0.6123497123150061,8.559000000000212,2.641174258813954,0,0,0,33.07113447444111,0.033745427894938486,12.630800691549362,0.01810906759754345
17.172000,28.590277,20.760413,31.636849,0.337833,0.000000,1.000000,0.000000,903.801974,96.082148,766.220155,33.766058,587.231471,12.429448,4812.826140,195.865638,96.74136512771315,0.339081114426563,2.7703786694186667,28.705358407997434,0.11508134248096959,0.11587872636859639,0.013787079145437411,0.0012478589498080704,1.7199806219038403,10.083131367211461,1.3737600000000567,0.5433386501522828,0.613346665953732,8.586000000000213,2.664600401576093,0,0,0,33.81359044577412,0.033745427894938486,12.78784617118948,0.019316776141291254
17.226000,28.804556,20.763736,31.604618,0.352781,0.000000,1.000000,0.000000,903.014501,96.866138,765.474266,34.511741,586.911879,12.734036,4809.929689,198.781631,97.54531712356936,0.35408504192924956,2.8102499509132186,28.92136110799744,0.1168046534078504,0.11936136345089014,0.01399265624085155,0.001304067702761539,1.7257004416517392,10.121082505274977,1.378080000000057,0.5598177126686538,0.6143438741214637,8.613000000000214,2.7119300669922626,0,0,0,34.55994040876274,0.03420644435226217,13.107681407665119,0.019560351128928514
17.280000,29.018825,20.768056,31.591415,0.368192,0.000000,1.000000,0.000000,902.622686,97.256790,764.475357,35.510017,586.585885,13.044560,4806.896696,201.793413,97.94818453938983,0.3695548815014689,2.8342609749237115,29.13736380799745,0.1185386609214247,0.12052369092382612,0.01462585128962597,0.001362876170881534,1.7314585423797912,10.140043387956464,1.3824000000000574,0.5708710330169052,0.6143438741214637,8.640000000000216,2.7841520248533094,0,0,0,35.56025624006353,0.03561336562159468,13.434433849986466,0.020319135885199843
17.334000,29.233952,20.771379,31.549844,0.376057,0.000000,1.000000,0.000000,901.430535,98.444234,763.466043,36.519117,586.420133,13.202387,4803.368856,205.319358,99.15708531412248,0.3774801107897748,2.8664812635794426,29.353366507997457,0.11941498574783699,0.12523014893935713,0.014840417782873417,0.0014231609536231066,1.737248745028312,10.18740497984849,1.3867200000000577,0.5876208118464126,0.6153413940157217,8.667000000000217,2.845267115119878,0,0,0,36.56957071782822,0.03561336562159468,13.60069933702018,0.020831901720435513
