Time (s),Growth_Factor (mM),PP2A (mM),MKP (mM),ERK_Nuclear (mM),Phase_Rest (mM),Phase_Pulse (mM),Phase_Recovery (mM),Raf_inactive (mM),Raf_active (mM),MEK_inactive (mM),MEK_PP (mM),ERK_inactive (mM),ERK_PP (mM),ATP (mM),ADP (mM),Raf_Activation (firings),ERK_Nuclear_Import (firings),ATP_Regeneration (firings),Growth_Factor_Source (firings),Growth_Factor_Degradation (firings),Raf_Degradation (firings),MEK_Degradation (firings),ERK_Nuclear_Degradation (firings),MKP_Synthesis (firings),MKP_Degradation (firings),PP2A_Synthesis (firings),Raf_Deactivation (firings),PP2A_Degradation (firings),ADP_Source (firings),ADP_Sink (firings),Start_Pulse (firings),End_Pulse (firings),GF_MKP_Feedforward (firings),MEK_Phosphorylation (firings),MEK_Dephosphorylation (firings),ERK_Phosphorylation (firings),ERK_Dephosphorylation (firings)
65.502000,0.000523,22.389880,59.939171,0.465828,0.000000,0.000000,1.000000,998.572839,1.257244,794.078604,5.859615,598.881130,0.622116,4944.385530,91.167039,103.15556639945358,0.49675415283793256,19.788339350662476,0.5060502002775119,0.5055269089202866,0.16991693080657352,0.061780842545477686,0.030926182335591204,1.0887174311139343,4.869796052472477,5.240159999999933,25.26269471209604,2.8502798307689052,32.751000000001056,16.98677070930441,1,1,63.72024977191429,14.557117144058743,8.635721145820899,9.799359681404612,8.680489461364907
65.556000,0.000529,22.390169,59.929375,0.466327,0.000000,0.000000,1.000000,998.590129,1.239954,794.078604,5.859615,598.864804,0.637867,4944.386695,91.210800,103.15713411700439,0.49732875011956046,19.822681863250626,0.5060556002777818,0.5055269089202866,0.16991693080657352,0.061780842545477686,0.031001673420076058,1.0896955982193008,4.880584648420461,5.244479999999932,25.280511924845506,2.8543105275998504,32.77800000000106,17.003186653368513,1,1,63.7202641641502,14.557117144058743,8.635721145820899,9.81568503823381,8.680489461364907
65.610000,0.000534,22.390459,59.914196,0.466252,0.000000,0.000000,1.000000,998.589597,1.240441,794.089901,5.848318,598.848476,0.654195,4944.345831,91.229393,103.15871816240414,0.49732875011956046,19.822681863250626,0.5060610002780518,0.5055269089202866,0.16996158829957855,0.061780842545477686,0.031077214327145535,1.0906958370341246,4.896764213479893,5.248799999999931,25.280511924845506,2.8583407581054154,32.80500000000106,17.052456969748576,1,1,63.7202641641502,14.560954817874565,8.650855728174054,9.832013011110664,8.680489461364907
65.664000,0.000539,22.394779,59.909816,0.466176,0.000000,0.000000,1.000000,998.606655,1.223340,794.089901,5.848318,598.851723,0.650948,4944.312696,91.240257,103.16030769925771,0.49732875011956046,19.822681863250626,0.5060664002783217,0.5055269089202866,0.17000563010885042,0.061780842545477686,0.031152742997248888,1.0916931402980061,4.902156520702165,5.25311999999993,25.298103684631478,2.8583407581054154,32.83200000000106,17.101728858653264,1,1,63.72027925536011,14.560954817874565,8.650855728174054,9.84831355467309,8.700036861919275
65.718000,0.000535,22.391037,59.910821,0.467272,0.000000,0.000000,1.000000,998.606655,1.223296,794.086114,5.852105,598.861384,0.640116,4944.322298,91.241980,103.16030769925771,0.4984999291484686,19.839858120367456,0.5060718002785917,0.5055366521647338,0.17004967033261717,0.061780842545477686,0.031228417548941772,1.0926830325318149,4.902156520702165,5.257439999999929,25.298103684631478,2.8664026714426916,32.85900000000106,17.134579981135765,1,1,63.72029410376072,14.564742003621026,8.650855728174054,9.84831355467309,8.709697485432356
65.772000,0.000531,22.395357,59.911810,0.468347,0.000000,0.000000,1.000000,998.614833,1.215117,794.101221,5.836894,598.870886,0.629463,4944.338943,91.236663,103.16188252682267,0.4996516197065612,19.857032392242367,0.5060772002788616,0.5055462848307841,0.17004967033261717,0.061885908521003404,0.031304266931709894,1.093658135801037,4.902156520702165,5.261759999999928,25.30681105929909,2.8664026714426916,32.88600000000106,17.167425757695348,1,1,63.72030861817169,14.564742003621026,8.665962520758054,9.84831355467309,8.7191993866027
65.826000,0.000527,22.395646,59.907394,0.468838,0.000000,0.000000,1.000000,998.614308,1.215642,794.116290,5.821719,598.880240,0.619542,4944.372768,91.247766,103.16344501683596,0.5002181360000887,19.891382184204527,0.5060826002791315,0.505555873708852,0.17004967033261717,0.061990701350889826,0.03138019628793827,1.0946196872064127,4.907548584947353,5.266079999999927,25.30681105929909,2.870433835762289,32.91300000000106,17.183848357096217,1,1,63.72032333143429,14.564742003621026,8.681032212520853,9.84831355467309,8.728553411583949
65.880000,0.000523,22.399966,59.908360,0.469897,0.000000,0.000000,1.000000,998.613780,1.216083,794.116290,5.821614,598.873458,0.625189,4944.374142,91.291317,103.16501820408965,0.5013535059840856,19.925742011177324,0.5060880002794015,0.5055654195871212,0.17013721402078807,0.06209549229450531,0.0314562670347168,1.095584930858926,4.907548584947353,5.270399999999926,25.30681105929909,2.870433835762289,32.94000000000106,17.200282132305816,1,1,63.72032333143429,14.564742003621026,8.681032212520853,9.864542040947416,8.738000000425659
65.934000,0.000528,22.404286,59.909333,0.471507,0.000000,0.000000,1.000000,998.621388,1.208475,794.131323,5.806477,598.873458,0.623502,4944.407455,91.302932,103.16813985902523,0.5030399962749608,19.9601033924532,0.5060934002796714,0.5055654195871212,0.17013721402078807,0.06220001076692655,0.03153256846589643,1.0965439115090352,4.907548584947353,5.274719999999925,25.315468254212014,2.870433835762289,32.967000000001065,17.216716283500404,1,1,63.72033768474038,14.564742003621026,8.696064710146588,9.864542040947416,8.738000000425659
65.988000,0.000524,22.408606,59.904887,0.471984,0.000000,0.000000,1.000000,998.629467,1.200396,794.127582,5.810009,598.882733,0.613674,4944.433815,91.321499,103.16969381535475,0.5035928008038669,19.99446769132179,0.5060988002799414,0.505574923239588,0.17013721402078807,0.06240910940948316,0.03160900824580591,1.0974893521171663,4.9129404816520825,5.279039999999924,25.324068934900033,2.870433835762289,32.994000000001066,17.233153778093858,1,1,63.72033768474038,14.568483207942073,8.696064710146588,9.864542040947416,8.747274790332249
