Time (s),Growth_Factor (mM),PP2A (mM),MKP (mM),ERK_Nuclear (mM),Phase_Rest (mM),Phase_Pulse (mM),Phase_Recovery (mM),Raf_inactive (mM),Raf_active (mM),MEK_inactive (mM),MEK_PP (mM),ERK_inactive (mM),ERK_PP (mM),ATP (mM),ADP (mM),Raf_Activation (firings),ERK_Nuclear_Import (firings),ATP_Regeneration (firings),Growth_Factor_Source (firings),Growth_Factor_Degradation (firings),Raf_Degradation (firings),MEK_Degradation (firings),ERK_Nuclear_Degradation (firings),MKP_Synthesis (firings),MKP_Degradation (firings),PP2A_Synthesis (firings),Raf_Deactivation (firings),PP2A_Degradation (firings),ADP_Source (firings),ADP_Sink (firings),Start_Pulse (firings),End_Pulse (firings),Reset_Phase (firings),MEK_Phosphorylation (firings),MEK_Dephosphorylation (firings),ERK_Phosphorylation (firings),ERK_Dephosphorylation (firings)
34.668000,0.003392,21.615148,25.161230,0.034328,0.000000,0.000000,1.000000,999.859802,0.139554,799.829305,0.170384,599.685970,0.279126,5001.537535,16.999533,0.14308127844925303,0.034904561202807424,2.6569673418296,0.003466799999999626,7.442675859466363e-05,0.0006438471419267135,0.0003108349311665815,0.0005765550233056028,3.4668000030203654,18.30556957889455,2.7734400000001616,0.0028836917286535983,1.1582915794000876,17.334000000000543,1.45389995566975,0,0,0,0.17192469597976753,0.001229459199027527,0.3162510273025903,0.002220548230191636
34.722000,0.003398,21.618431,25.159082,0.034407,0.000000,0.000000,1.000000,999.859200,0.140150,799.828584,0.171104,599.682822,0.282189,5001.536068,17.029877,0.14369200852751463,0.03498924683408812,2.663947886185345,0.0034721999999996252,7.442675859466363e-05,0.0006505650442912877,0.00031185721419674727,0.0005821203328634096,3.4722000031016087,18.313118488021793,2.777760000000162,0.002891733109493448,1.159329267804408,17.361000000000544,1.4590032326334326,0,0,0,0.17265350623365258,0.0012372527611195397,0.3194403589718972,0.002262340867981664
34.776000,0.003403,21.622751,25.126762,0.034740,0.000000,0.000000,1.000000,999.858808,0.140536,799.828231,0.171457,599.681217,0.283455,5001.540456,17.057133,0.14409986231787467,0.03532820237260715,2.6726832480473655,0.0034775999999996244,7.48345990338637e-05,0.0006556174242302174,0.0003128837936143357,0.000587724373959808,3.4776000031839858,18.35083807272524,2.782080000000162,0.00290782597200078,1.159329267804408,17.388000000000545,1.4630937840382632,0,0,0,0.1730184117524124,0.001249000980221555,0.3210451293290233,0.002262340867981664
34.830000,0.003408,21.626033,25.102021,0.034991,0.000000,0.000000,1.000000,999.858424,0.140915,799.828231,0.171454,599.678020,0.286395,5001.544128,17.087888,0.14450823714530225,0.03558467338832642,2.683182462071625,0.0034829999999996235,7.51410727298759e-05,0.0006606838310266855,0.00031494126576564366,0.0005933765477773969,3.4830000032695896,18.380979500655926,2.7864000000001625,0.002932084650222705,1.160367344159693,17.415000000000546,1.4661665744280137,0,0,0,0.1730184117524124,0.001249000980221555,0.32425460674131007,0.002274443687369134
34.884000,0.003413,21.628276,25.069786,0.035157,0.000000,0.000000,1.000000,999.858039,0.141300,799.827508,0.172176,599.677228,0.287016,5001.552909,17.116323,0.1449170487972614,0.03575648126327773,2.695449935352398,0.0034883999999996227,7.555030339043823e-05,0.0006606838310266855,0.00031597217352892753,0.00059906792267552,3.488400003356925,18.418614444208554,2.790720000000163,0.0029563861230227323,1.162443577785235,17.442000000000547,1.4682178603154377,0,0,0,0.17375321592672,0.0012607905722079667,0.32505866823445095,0.002286599305861949
34.938000,0.003418,21.631558,25.045113,0.035324,0.000000,0.000000,1.000000,999.857433,0.141903,799.826411,0.173270,599.676437,0.287634,5001.553731,17.141600,0.14553144210715674,0.03592890206230601,2.700714568414458,0.003493799999999622,7.575519729959005e-05,0.0006640846419529108,0.00031908456165908293,0.0006047785152213381,3.4938000034450765,18.4486873511468,2.795040000000163,0.00296450535126865,1.1634817350536422,17.46900000000055,1.4743834989531255,0,0,0,0.17485799632975538,0.0012687086489435338,0.32586784829414733,0.0023048532589584722
34.992000,0.003423,21.632763,25.027976,0.035665,0.000000,0.000000,1.000000,999.857228,0.142108,799.825308,0.174368,599.674008,0.289716,5001.549944,17.168695,0.14573670094864585,0.03627584967233199,2.7042284942767068,0.003499199999999621,7.596047490881172e-05,0.0006640846419529108,0.00032430252900133704,0.0006105349599268142,3.4992000035354223,18.47122389065171,2.7993600000001635,0.00296450535126865,1.1665968755171272,17.49600000000055,1.4815890633906483,0,0,0,0.17596487324711857,0.0012726969030872374,0.32830902791884825,0.0023170818058998186
35.046000,0.003428,21.635006,25.010854,0.035834,0.000000,0.000000,1.000000,999.856842,0.142493,799.825308,0.174365,599.670769,0.292781,5001.555321,17.200571,0.14614738604284794,0.03644989068691021,2.7165441786423896,0.00350459999999962,7.62687552212556e-05,0.0006657946712439739,0.00032744113189831485,0.0006163326808494176,3.5046000036281626,18.49374609124967,2.803680000000164,0.0029890372780168777,1.1686738243710662,17.52300000000055,1.4836522217447963,0,0,0,0.17596487324711857,0.0012726969030872374,0.33157297063283225,0.002341665589220883
35.100000,0.003433,21.636211,24.993750,0.036093,0.000000,0.000000,1.000000,999.856858,0.142476,799.824575,0.175096,599.667515,0.295770,5001.552583,17.229403,0.14614738604284794,0.03671502424218246,2.7218330646702618,0.0035099999999996193,7.657745777526386e-05,0.0006657946712439739,0.00032954007521882283,0.000622156372601524,3.5100000037252594,18.516250367299577,2.808000000000164,0.0030053896113808177,1.1717893921954168,17.55000000000055,1.4898472873657886,0,0,0,0.17670581513717254,0.001280681613018912,0.33484543308645104,0.0023603652422749003
35.154000,0.003439,21.639492,24.969167,0.036265,0.000000,0.000000,1.000000,999.856272,0.143058,799.823833,0.175835,599.665069,0.298038,5001.550845,17.257227,0.14676566459243373,0.0368929474514926,2.7271273592738305,0.0035153999999996185,7.668055045153059e-05,0.0006692187274017147,0.0003316456676769086,0.0006280254137922741,3.515400003826335,18.546233331695856,2.8123200000001645,0.0030381596386150045,1.172827999424752,17.577000000000552,1.4960550370080865,0,0,0,0.17744775516049144,0.001280681613018912,0.33731057270448034,0.0023792352648134758
35.208000,0.003444,21.642773,24.952098,0.036528,0.000000,0.000000,1.000000,999.855662,0.143661,799.823096,0.176573,599.664265,0.298574,5001.550624,17.280732,0.14738479872715438,0.03716158382158973,2.73066242872425,0.0035207999999996176,7.699016991646025e-05,0.0006778214287767128,0.0003316456676769086,0.0006339256829554123,3.5208000039291085,18.568702079998047,2.816640000000165,0.0030463805227757936,1.1738667180809432,17.604000000000553,1.503306580340095,0,0,0,0.17819322534920704,0.001288742294747935,0.33813341742327574,0.002398157018445043
35.262000,0.003449,21.646054,24.942528,0.036971,0.000000,0.000000,1.000000,999.855273,0.144047,799.821607,0.178059,599.662621,0.299768,5001.550983,17.309260,0.14779813553071314,0.03761114693823286,2.7377386017270076,0.003526199999999617,7.709361021136274e-05,0.00067954763613663,0.0003337823917528086,0.0006398734489033587,3.526200004033488,18.58367199300961,2.820960000000165,0.0030711464417397297,1.1749055942386402,17.631000000000554,1.5084961749240768,0,0,0,0.17968935629173186,0.0012968367831001266,0.3397895275246937,0.002410829825652616
35.316000,0.003454,21.648296,24.910533,0.037235,0.000000,0.000000,1.000000,999.854238,0.145075,799.821240,0.178425,599.661793,0.300326,5001.552843,17.333481,0.1488329000997346,0.03788135202099247,2.7430545335389493,0.003531599999999616,7.730082348677429e-05,0.0006864915841252723,0.00033485294888799526,0.000645885052198067,3.531600004138584,18.6210673021347,2.8252800000001654,0.0030711464417397297,1.1769838651038924,17.658000000000555,1.5147305852648234,0,0,0,0.18006496235526337,0.0013049907657301581,0.3406245144538369,0.0024171659360675826
35.370000,0.003460,21.649499,24.900987,0.037682,0.000000,0.000000,1.000000,999.853625,0.145689,799.820492,0.179170,599.659299,0.302367,5001.551014,17.361383,0.14945488942874885,0.038334315125521205,2.748374734958644,0.003536999999999615,7.740447046206967e-05,0.0006864915841252723,0.0003380690166942459,0.000651959108894255,3.5370000042461327,18.636013359645997,2.8296000000001658,0.0030794838065918177,1.1801013696294638,17.685000000000556,1.520976956766244,0,0,0,0.18082151116595896,0.0013131615753693253,0.34313117343605254,0.00242990024673448
35.424000,0.003465,21.650701,24.891448,0.037948,0.000000,0.000000,1.000000,999.853209,0.146099,799.819365,0.180297,599.659324,0.302069,5001.557202,17.386906,0.14987012291708166,0.038606354182509815,2.757254736905883,0.0035423999999996143,7.781978324201196e-05,0.0006917413048951423,0.0003380690166942459,0.0006580844314626124,3.5424000043542576,18.650952070543962,2.833920000000166,0.0030794838065918177,1.1832190703416519,17.712000000000558,1.525147068974362,0,0,0,0.1819600514137921,0.0013254818145437234,0.34313117343605254,0.0024554281047962753
35.478000,0.003470,21.653982,24.881913,0.038306,0.000000,0.000000,1.000000,999.852827,0.146481,799.818618,0.181043,599.656802,0.304228,5001.555519,17.414660,0.15028597877372343,0.038969931675319355,2.7625902131043887,0.0035477999999996134,7.802781693635522e-05,0.0006917413048951423,0.00033915305011466884,0.0006642642629744733,3.547800004463345,18.66588667885797,2.8382400000001664,0.0031130666537292975,1.1842584883064535,17.73900000000056,1.5314110236477863,0,0,0,0.18271978879846465,0.0013378965778993142,0.34567290391929234,0.002474591490698762
35.532000,0.003475,21.657262,24.864923,0.038482,0.000000,0.000000,1.000000,999.852653,0.146654,799.817864,0.181796,599.655126,0.305722,5001.559287,17.442615,0.1504940919962325,0.03915243939669963,2.7714951172089837,0.0035531999999996126,7.844445885652779e-05,0.000693501374409722,0.00034024383302086567,0.0006704956142708553,3.553200004574939,18.688277102542372,2.8425600000001667,0.003146725793816806,1.1852979024591925,17.76600000000056,1.5355930772936517,0,0,0,0.1834825087080482,0.0013462046251284457,0.34737443914449906,0.0025003065931967876
35.586000,0.003480,21.659503,24.862862,0.039027,0.000000,0.000000,1.000000,999.851218,0.148083,799.817484,0.182175,599.654288,0.306008,5001.566059,17.470400,0.15195384562052275,0.039703832850916804,2.7821948806098367,0.0035585999999996117,7.844445885652779e-05,0.000698800659097823,0.00034024383302086567,0.0006767722573065707,3.5586000046888664,18.695737839413006,2.846880000000167,0.0031721413382141306,1.1873771340414847,17.79300000000056,1.5387357308725904,0,0,0,0.18386595724654925,0.0013503629370079007,0.348225194123087,0.002513230242873194
35.640000,0.003485,21.662783,24.845891,0.039113,0.000000,0.000000,1.000000,999.850592,0.148706,799.816725,0.182931,599.652612,0.307592,5001.565828,17.496693,0.1525803330098527,0.03979614008768874,2.787550955139871,0.003563999999999611,7.86533550563164e-05,0.0007023696630679717,0.0003435296746163605,0.0006830975089608353,3.5640000048033054,18.718108603006282,2.8512000000001674,0.0031721413382141306,1.188416951459237,17.82000000000056,1.5450300676985405,0,0,0,0.1846376359170779,0.0013628900292456867,0.3499337142513006,0.002545582124899399
35.694000,0.003490,21.667103,24.828934,0.039476,0.000000,0.000000,1.000000,999.850199,0.149096,799.815571,0.184083,599.651763,0.308072,5001.572088,17.525008,0.15299843204715466,0.040165076630988374,2.798277929950054,0.00356939999999961,7.896720684131947e-05,0.0007041590475586681,0.0003468293201466181,0.0006894682349552048,3.5694000049191272,18.74046553722412,2.8555200000001677,0.003197804519390912,1.188416951459237,17.847000000000563,1.548182608594452,0,0,0,0.18580073472784248,0.0013712851551222207,0.35079516910030006,0.0025585518846281837
35.748000,0.003496,21.669343,24.819438,0.039932,0.000000,0.000000,1.000000,999.849990,0.149306,799.814423,0.185227,599.649185,0.310187,5001.575111,17.556573,0.15320778327236503,0.0406281969178821,2.809022660663805,0.003574799999999609,7.917675566751945e-05,0.0007041590475586681,0.00035015425662581157,0.0006959111100512501,3.574800005037457,18.755361923192662,2.859840000000168,0.003197804519390912,1.1904970586301613,17.874000000000564,1.5513390281567307,0,0,0,0.1869653550963925,0.0013881716695712018,0.3533866848629861,0.002571638133193116
35.802000,0.003501,21.671582,24.802505,0.040206,0.000000,0.000000,1.000000,999.849588,0.149706,799.813264,0.186384,599.647469,0.311622,5001.579646,17.586634,0.15362722209300458,0.04090857050838339,2.8197822789034097,0.0035801999999996083,7.938666991503846e-05,0.0007059507173951331,0.0003523839236384903,0.0007023998414955041,3.5802000051591705,18.77769469651024,2.8641600000001683,0.0032149794468486754,1.1925775190634396,17.901000000000565,1.5545025041474279,0,0,0,0.1881325760264998,0.0013966719795249275,0.3551220974882828,0.0025913251760131023
35.856000,0.003506,21.673822,24.785588,0.040482,0.000000,0.000000,1.000000,999.849386,0.149906,799.812109,0.187536,599.644867,0.313943,5001.580838,17.617201,0.15383740498835255,0.04119050996000492,2.828764697190785,0.0035855999999996075,7.959685956303154e-05,0.0007077470897844549,0.0003546274480889257,0.0007089381468202446,3.585600005283881,18.80001205506531,2.8684800000001687,0.0032235722654530776,1.1946582175251534,17.928000000000566,1.558724775739229,0,0,0,0.1893002387865315,0.0014095149458740247,0.3577441586025442,0.002611126808866147
35.910000,0.003511,21.675021,24.761257,0.040569,0.000000,0.000000,1.000000,999.848562,0.150728,799.811727,0.187917,599.644893,0.313822,5001.590005,17.642651,0.15467877096424043,0.04128468676424658,2.8395546382583867,0.0035909999999996067,8.00179749943458e-05,0.0007095558518337487,0.00035575495822231514,0.0007154990796311973,3.5910000054097204,18.829743358740778,2.872800000000169,0.003240853099977429,1.1977793745243175,17.955000000000567,1.561898601625382,0,0,0,0.18969107720407039,0.0014180941910794445,0.3577441586025442,0.0026375780459722037
35.964000,0.003516,21.678300,24.766657,0.040751,0.000000,0.000000,1.000000,999.848175,0.151111,799.810167,0.189477,599.643166,0.315360,5001.588304,17.670402,0.15510015855178713,0.04147320181142243,2.8449582646142435,0.003596399999999606,8.012335845509596e-05,0.0007131781581468196,0.00035575495822231514,0.0007220860735617546,3.596400005535704,18.829743358740778,2.8771200000001693,0.003275517331491415,1.1988198907145418,17.982000000000568,1.5682528317892324,0,0,0,0.19125970753835322,0.0014267356121292136,0.3595175744129394,0.002683873558996689
36.018000,0.003521,21.679498,24.757198,0.041219,0.000000,0.000000,1.000000,999.847762,0.151519,799.809777,0.189866,599.640516,0.317536,5001.588980,17.698635,0.155522000927278,0.04194807842727161,2.8521721030830234,0.003601799999999605,8.044008385412301e-05,0.0007186306557016707,0.0003568941594523713,0.0007287282345018881,3.6018000056655635,18.844602023621775,2.8814400000001696,0.00328421533662336,1.2019417156029375,18.00900000000057,1.5735566108118035,0,0,0,0.1916536962896906,0.0014310696554429873,0.3621812924131985,0.0026972025008301327
36.072000,0.003526,21.682778,24.740320,0.041594,0.000000,0.000000,1.000000,999.847348,0.151931,799.809010,0.190632,599.638749,0.318922,5001.588834,17.724821,0.15594451819733893,0.042329743397553306,2.8575880528167503,0.003607199999999604,8.075724873467942e-05,0.0007204538512527392,0.0003580356915041163,0.0007354447632073445,3.607200005798388,18.86687969743672,2.88576000000017,0.0032929249525955385,1.202982469760804,18.03600000000057,1.5799330363457866,0,0,0,0.192442690258644,0.0014528374659104892,0.3639619371027523,0.002710605380608752
36.126000,0.003531,21.683975,24.701216,0.041780,0.000000,0.000000,1.000000,999.846942,0.152335,799.809015,0.190625,599.636079,0.321399,5001.588481,17.751211,0.15636796631649308,0.04252186850004092,2.8630108358582893,0.0036125999999996033,8.118056482026122e-05,0.0007222769202690517,0.00036032321412063535,0.0007422015250431405,3.612600005934781,18.91138374548696,2.8900800000001703,0.003310391372638177,1.20610503152138,18.06300000000057,1.5863189099180761,0,0,0,0.192442690258644,0.0014571979748522826,0.36663815681936,0.0027173169778456963
36.180000,0.003537,21.687254,24.676985,0.042064,0.000000,0.000000,1.000000,999.846960,0.152314,799.807443,0.192195,599.634309,0.322879,5001.590795,17.780683,0.15636796631649308,0.042812639911457416,2.872061484017554,0.0036179999999996024,8.149867102767029e-05,0.0007259328405503787,0.00036146693897265854,0.0007489955153585553,3.6180000060756954,18.941014928362375,2.8944000000001706,0.003327879992071735,1.2071460466400932,18.090000000000572,1.5905837009192223,0,0,0,0.19402690898616487,0.0014703331900098994,0.36842227083122,0.002730905576091877
