Time (s),Growth_Factor (mM),PP2A (mM),MKP (mM),ERK_Nuclear (mM),Phase_Rest (mM),Phase_Pulse (mM),Phase_Recovery (mM),Raf_inactive (mM),Raf_active (mM),MEK_inactive (mM),MEK_PP (mM),ERK_inactive (mM),ERK_PP (mM),ATP (mM),ADP (mM),Raf_Activation (firings),ERK_Nuclear_Import (firings),ATP_Regeneration (firings),Growth_Factor_Source (firings),Growth_Factor_Degradation (firings),Raf_Degradation (firings),MEK_Degradation (firings),ERK_Nuclear_Degradation (firings),MKP_Synthesis (firings),MKP_Degradation (firings),PP2A_Synthesis (firings),Raf_Deactivation (firings),PP2A_Degradation (firings),ADP_Source (firings),ADP_Sink (firings),Start_Pulse (firings),End_Pulse (firings),Reset_Phase (firings),MEK_Phosphorylation (firings),MEK_Dephosphorylation (firings),ERK_Phosphorylation (firings),ERK_Dephosphorylation (firings)
32.022000,139.421246,21.185713,18.201667,47.790147,0.000000,0.000000,1.000000,628.316598,369.988465,357.948371,441.380985,98.021743,453.491837,2746.926542,2198.585169,379.93106137541633,48.48642012374329,17.040877495801652,142.25300357984636,2.8317578595083335,1.69493684212567,0.6706436378661139,0.6962731416257798,21.964884534070414,43.76321792495318,2.5617600000001457,8.247659746710506,1.3760467060207568,16.011000000000493,87.54016664118893,0,0,0,442.58850892283624,0.536879839924987,502.5031281726069,0.5248709011771032
32.076000,139.417063,21.188002,18.157142,48.056446,0.000000,0.000000,1.000000,627.634434,370.661742,356.350621,442.970776,94.197283,457.042232,2735.429965,2209.636774,380.6343954872433,48.76048482957551,17.098274526121624,142.2530035798983,2.8359404968799447,1.703824700156398,0.6786028231719085,0.7040392485434772,22.05127282626685,43.894130457199516,2.566080000000146,8.268829240340812,1.3780784854581718,16.038000000000494,88.06953554831193,0,0,0,444.18831274550627,0.5389340668518822,506.3286440406914,0.5259269061123346
32.130000,139.412881,21.188258,18.156418,48.461819,0.000000,0.000000,1.000000,626.974268,371.308556,353.951192,445.367542,91.380699,459.445629,2724.335018,2220.140044,381.3369757513746,49.173672313023395,17.144201525230834,142.25300357995022,2.8401230087724354,1.717176030917574,0.6812654402600109,0.7118535354688201,22.137661396116208,43.98124303482821,2.5704000000001463,8.311244141019406,1.3821422661730114,16.065000000000495,88.7341399186324,0,0,0,446.5887694776522,0.5399615691447893,509.1473345625742,0.5280333786127211
32.184000,139.408698,21.188514,18.177430,49.145181,0.000000,0.000000,1.000000,625.635015,372.643346,352.354061,446.961992,89.522002,460.613061,2716.071592,2227.953436,382.73994200686013,49.864936664909656,17.201621013370165,142.25300358000214,2.8443053951895716,1.7216393914057357,0.683947228299854,0.7197560396582344,22.224050146747913,44.04661987073662,2.5747200000001467,8.374956790170424,1.386206120415968,16.092000000000496,89.26859321108138,0,0,0,448.18795663481995,0.5420178873749111,511.0070870197803,0.5290891413543567
32.238000,139.404516,21.186738,18.176575,49.830428,0.000000,0.000000,1.000000,624.934698,373.334715,349.955489,449.360564,86.767177,462.674623,2705.113681,2238.459052,383.44025835057107,50.558199724523234,17.259049416786862,142.25300358005407,2.848487656135117,1.7305869811237098,0.683947228299854,0.7277718655372436,22.310439037230008,44.13386416978011,2.579040000000147,8.374956790170424,1.3923017821728798,16.119000000000497,89.80531686095777,0,0,0,450.5906431018341,0.546131968474471,513.7619121652338,0.5290891413543567
32.292000,139.387788,21.186995,18.197526,50.378372,0.000000,0.000000,1.000000,624.299275,373.965658,349.154251,450.156405,84.956795,463.928959,2699.242046,2243.877455,384.13980063417597,51.1142458984869,17.31648511142484,142.253003580106,2.8652154452766587,1.735066997698661,0.6893443463198266,0.7358738208293105,22.396828011825157,44.19930192232486,2.5833600000001473,8.439075388082763,1.3963654411193747,16.146000000000498,90.34298429968845,0,0,0,451.39291041475013,0.5471609326951241,515.574408939361,0.5312041280917791
32.346000,139.383607,21.189283,18.174819,50.510184,0.000000,0.000000,1.000000,622.553708,375.697729,349.156308,450.146244,82.285315,466.460458,2692.193122,2250.324667,385.88536784746975,51.25422634799591,17.362439125854017,142.25300358015792,2.8693970789207035,1.7485631262643018,0.6974470821266576,0.7440420883254515,22.4832172280667,44.308397975097854,2.5876800000001476,8.439075388082763,1.3983972019714315,16.1730000000005,91.0176500077146,0,0,0,451.39291041475013,0.5492188653447665,518.2490641204491,0.5343792825056738
32.400000,139.371062,21.191571,18.217512,50.922442,0.000000,0.000000,1.000000,622.269667,375.972749,348.352671,450.947181,78.805734,469.519562,2683.323007,2258.738642,386.2338930713984,51.67470391410208,17.41989062802268,142.25300358020985,2.8819412271738414,1.7575839999705107,0.7001479534195161,0.7522619921365147,22.56960662959276,44.35209502298799,2.592000000000148,8.50355990813909,1.4004293374287595,16.2000000000005,91.55824229841227,0,0,0,452.1986060000546,0.5512770466708132,521.7328894695637,0.5386233700703015
32.454000,139.358519,21.189794,18.216453,51.337363,0.000000,0.000000,1.000000,621.964322,376.264551,345.939496,453.360356,77.096690,470.805396,2674.815832,2267.228817,386.5822592803719,52.09791457945884,17.511830605243517,142.25300358026178,2.8944842464875125,1.7711269591199148,0.7001479534195161,0.7605514288734117,22.655996283900294,44.43954290012246,2.5963200000001483,8.546581689947601,1.4065260497835883,16.2270000000005,91.69418099581526,0,0,0,454.6128106338925,0.5523067634667679,523.4440589432419,0.5407487777770097
32.508000,139.358519,21.190049,18.259035,51.894485,0.000000,0.000000,1.000000,621.659154,376.565204,341.124002,458.170362,75.396812,471.939797,2661.460860,2279.826679,386.9304644910629,52.66339110987472,17.546314280370215,142.2530035803137,2.8944842464875125,1.7756421337274904,0.705636422280962,0.7689056460583521,22.7423860018772,44.483351315180656,2.6006400000001486,8.58961810150957,1.4105906895077176,16.254000000000502,92.51277557540737,0,0,0,459.43036547578276,0.5543673036028001,525.1471294344219,0.5439416213563063
