Time (s),Growth_Factor (mM),PP2A (mM),MKP (mM),ERK_Nuclear (mM),Phase_Rest (mM),Phase_Pulse (mM),Phase_Recovery (mM),Raf_inactive (mM),Raf_active (mM),MEK_inactive (mM),MEK_PP (mM),ERK_inactive (mM),ERK_PP (mM),ATP (mM),ADP (mM),Raf_Activation (firings),ERK_Nuclear_Import (firings),ATP_Regeneration (firings),Growth_Factor_Source (firings),Growth_Factor_Degradation (firings),Raf_Degradation (firings),MEK_Degradation (firings),ERK_Nuclear_Degradation (firings),MKP_Synthesis (firings),MKP_Degradation (firings),PP2A_Synthesis (firings),Raf_Deactivation (firings),PP2A_Degradation (firings),ADP_Source (firings),ADP_Sink (firings),Start_Pulse (firings),End_Pulse (firings),GF_MKP_Feedforward (firings),MEK_Phosphorylation (firings),MEK_Dephosphorylation (firings),ERK_Phosphorylation (firings),ERK_Dephosphorylation (firings)
89.100000,0.000403,23.545729,34.122280,301.372304,0.000000,0.000000,1.000000,999.578338,0.275127,739.591211,59.398654,11.506019,259.610245,3273.855205,1450.071171,100.62182886708636,328.8837360703016,65.52392229640394,0.5084100003954755,0.5080065037813957,0.14653522579329237,1.0101347391575792,27.51143159527531,14.92565826293338,20.80337840103201,7.127999999999492,24.919088310107366,3.5822713212129904,44.5500000000015,386.1475464798399,1,1,0,141.30168210916045,80.89289312889768,741.8623014423142,153.3683205393002
89.154000,0.000402,23.545995,34.121318,301.790641,0.000000,0.000000,1.000000,999.577938,0.275527,739.591211,59.396516,11.374639,259.274418,3273.625722,1449.839302,100.62347255962973,329.3509424686122,65.55759983850176,0.5084154003957454,0.5080137667204505,0.14653522579329237,1.0122730714650952,27.560301733460182,14.936982234733422,20.815663780658767,7.132319999999491,24.919088310107366,3.586325416157407,44.577000000001505,386.66957572791114,1,1,0,141.30168210916045,80.89289312889768,741.9936813423166,153.3683205393002
89.208000,0.000400,23.550315,34.120356,301.741753,0.000000,0.000000,1.000000,999.581551,0.271903,739.576140,59.411587,11.607379,259.041678,3273.629258,1449.374532,100.62347255962973,329.3509424686122,65.59127703962253,0.5084208003960153,0.5080210609266104,0.1465451447618897,1.0122730714650952,27.609189177242275,14.948306168726976,20.82795017304697,7.13663999999949,24.92270189126383,3.586325416157407,44.604000000001506,387.1914866112949,1,1,0,141.3167527528346,80.89289312889768,741.9936813423166,153.60106083290967
89.262000,0.000405,23.554635,34.119397,301.692874,0.000000,0.000000,1.000000,999.583340,0.270095,739.561268,59.426459,11.707608,258.941449,3273.401891,1449.435309,100.62347255962973,329.3509424686122,65.65863083351708,0.5084262003962853,0.5080210609266104,0.14656472145468857,1.0122730714650952,27.658068701686133,14.959630099909594,20.840233501205415,7.140959999999489,24.924490592020913,3.586325416157407,44.63100000000151,387.4524303168342,1,1,0,141.33162557767307,80.89289312889768,742.1261690051339,153.83377726115324
89.316000,0.000396,23.558955,34.118438,301.877052,0.000000,0.000000,1.000000,999.583340,0.270095,739.653169,59.332418,11.690374,258.725621,3273.168391,1449.207636,100.62347255962973,329.58400528420697,65.69230740640889,0.5084316003965552,0.5080355794823365,0.14656472145468857,1.0144124047485055,27.706952893466664,14.970954008453422,20.85251648398095,7.145279999999488,24.924490592020913,3.586325416157407,44.65800000000151,387.9742811012895,1,1,0,141.33162557767307,80.98479477285956,742.2597575648524,153.95013110199625
89.370000,0.000394,23.563275,34.129761,302.293613,0.000000,0.000000,1.000000,999.582949,0.270457,739.653169,59.332418,11.672281,258.278201,3272.932857,1448.982124,100.62507862627581,330.0495181178592,65.72598363784668,0.5084370003968252,0.5080427078587938,0.1465939188077416,1.0144124047485055,27.755904618967477,14.982277855655012,20.85251648398095,7.149599999999487,24.924490592020913,3.586325416157407,44.68500000000151,388.4960022835727,1,1,0,141.33162557767307,80.98479477285956,742.3941671218086,154.06644812142224
89.424000,0.000400,23.563537,34.128797,302.476978,0.000000,0.000000,1.000000,999.584331,0.269065,739.638425,59.347162,11.788586,257.929550,3272.970323,1448.778190,100.62671425713518,330.2818638240969,65.79333477093326,0.5084424003970951,0.5080427078587938,0.14660359117819308,1.0144124047485055,27.804886086605503,14.993601665582597,20.86480455693311,7.153919999999486,24.926270258126948,3.590382704461285,44.71200000000151,388.75682172861326,1,1,0,141.34636932856804,80.98479477285956,742.3941671218086,154.18275318427735
89.478000,0.000398,23.567857,34.127833,302.660120,0.000000,0.000000,1.000000,999.585705,0.267672,739.638425,59.347162,11.769386,257.716597,3272.698964,1448.294296,100.6283572394289,330.51401769962246,65.79333477093326,0.508447800397365,0.5080499347244862,0.14662286463481705,1.0144124047485055,27.853897247287282,15.004925437441765,20.87709228274533,7.158239999999485,24.928043411812297,3.590382704461285,44.73900000000151,389.53907498667763,1,1,0,141.34636932856804,80.98479477285956,742.5296466895234,154.2990322814887
89.532000,0.000389,23.572177,34.102308,302.611092,0.000000,0.000000,1.000000,999.589216,0.264152,739.638425,59.347162,11.635323,257.850659,3272.464514,1448.068030,100.6283572394289,330.51401769962246,65.8270092535389,0.508453200397635,0.5080641613802362,0.1466324374323202,1.0144124047485055,27.902925539177485,15.016249206814809,20.913941151308904,7.162559999999484,24.931554261474037,3.590382704461285,44.76600000000151,390.0604655108446,1,1,0,141.34636932856804,80.98479477285956,742.6637089825226,154.2990322814887
89.586000,0.000387,23.572439,34.113632,302.562072,0.000000,0.000000,1.000000,999.590567,0.262801,739.723003,59.262584,11.984084,257.501898,3272.449653,1447.328064,100.62995675918599,330.51401769962246,65.8270092535389,0.5084586003979049,0.5080712288825541,0.1466324374323202,1.0144124047485055,27.951945888913293,15.027572958170307,20.913941151308904,7.166879999999483,24.933294706968695,3.594441401709809,44.79300000000151,390.8422917822548,1,1,0,141.35360514292083,81.07660832399073,742.6637089825226,154.64779322755913
89.640000,0.000393,23.576759,34.112673,302.744896,0.000000,0.000000,1.000000,999.590567,0.262782,739.708628,59.275893,11.964187,257.289921,3272.215994,1447.395495,100.62995675918599,330.7458919234586,65.89435692468622,0.5084640003981749,0.5080712288825541,0.14665135873591076,1.0154791312679607,28.000995859377127,15.038896677902242,20.92622341760633,7.171199999999482,24.933294706968695,3.594441401709809,44.820000000001514,391.1028682551384,1,1,0,141.3679803880692,81.07660832399073,742.7998374117903,154.76402418085266
89.694000,0.000391,23.577019,34.111716,302.927390,0.000000,0.000000,1.000000,999.591906,0.261443,739.701430,59.282024,12.080392,256.942155,3272.201204,1446.655824,100.631571499994,330.97745285263534,65.89435692468622,0.5084694003984448,0.5080783311698382,0.14665135873591076,1.0165460973407514,28.05006289207995,15.05022036338454,20.938503979980037,7.175519999999481,24.935026246647404,3.5985005644164803,44.847000000001515,391.88432880722866,1,1,0,141.3751786349582,81.07660832399073,742.7998374117903,154.88022909159366
89.748000,0.000396,23.577280,34.110760,303.109573,0.000000,0.000000,1.000000,999.591515,0.261825,739.786029,59.197425,12.059613,256.731668,3271.979868,1446.711056,100.63317925651486,331.20871949380137,65.96170178979932,0.5084748003987147,0.5080783311698382,0.14666078475967226,1.0165460973407514,28.099146967691073,15.061544021227347,20.950784197878065,7.17983999999948,24.935026246647404,3.602559723393249,44.874000000001516,392.1447778598873,1,1,0,141.38234030412042,81.16836949507247,742.9368206877309,154.99643320615206
89.802000,0.000395,23.581600,34.122083,303.291434,0.000000,0.000000,1.000000,999.594949,0.258381,739.778868,59.204586,12.152753,256.407553,3271.720784,1446.509984,100.63317925651486,331.4396941686795,65.99537429194423,0.5084802003989847,0.508085500015961,0.14667008680842536,1.0165460973407514,28.148260539517935,15.072867631777614,20.950784197878065,7.184159999999479,24.9384605708571,3.602559723393249,44.90100000000152,392.66560710007553,1,1,0,141.3895015075822,81.16836949507247,743.0760380639455,155.22879092771961
89.856000,0.000393,23.585920,34.096564,303.242303,0.000000,0.000000,1.000000,999.596260,0.257061,739.778868,59.203520,12.014981,256.545324,3271.478523,1446.292165,100.63478011854242,331.4396941686795,66.0290464699204,0.5084856003992546,0.5080926046228568,0.14667934132434404,1.0176117798872244,28.197391098620155,15.084191235441272,20.987626858918663,7.188479999999478,24.94016102109632,3.602559723393249,44.92800000000152,393.18635842485287,1,1,0,141.3895015075822,81.16836949507247,743.2138094848401,155.22879092771961
89.910000,0.000398,23.590240,34.083342,303.193180,0.000000,0.000000,1.000000,999.597557,0.255764,739.955089,59.027299,11.995000,256.565305,3271.191776,1445.824945,100.63641099807263,331.4396941686795,66.0290464699204,0.5084910003995246,0.5080926046228568,0.14667934132434404,1.0176117798872244,28.246513699001586,15.095514857461149,21.01217332518886,7.192799999999477,24.94185455411362,3.602559723393249,44.95500000000152,393.9673261613024,1,1,0,141.39653303681425,81.35162190020957,743.3499536452684,155.344954094003
89.964000,0.000397,23.590499,34.082394,303.144066,0.000000,0.000000,1.000000,999.597557,0.255754,739.948092,59.033234,12.090357,256.469949,3270.937541,1445.619344,100.63641099807263,331.4396941686795,66.06271729296243,0.5084964003997945,0.5080998405468414,0.1466885488173595,1.0186743972195114,28.295628341951474,15.106838467284831,21.024444686972853,7.197119999999476,24.94185455411362,3.6066207910772627,44.98200000000152,394.4878322581365,1,1,0,141.40352991826506,81.35162190020957,743.4869095772821,155.57726620758973
90.018000,0.000402,23.594819,34.093717,303.325777,0.000000,0.000000,1.000000,999.598846,0.254466,740.039583,58.940680,12.048416,256.281047,3270.456013,1445.934951,100.63804169719127,331.6705367421612,66.13005942871703,0.5085018004000644,0.5080998405468414,0.1466885488173595,1.0197369954246864,28.34475995908365,15.118162051156542,21.024444686972853,7.201439999999475,24.943539750588013,3.6066207910772627,45.00900000000152,394.74809509279515,1,1,0,141.40352991826506,81.44311297196536,743.7611460531245,155.8095624352402
