Time (s),Growth_Factor (mM),PP2A (mM),MKP (mM),ERK_Nuclear (mM),Raf_inactive (mM),Raf_active (mM),MEK_inactive (mM),MEK_PP (mM),ERK_inactive (mM),ERK_PP (mM),ATP (mM),ADP (mM),Raf_Activation (firings),ERK_Nuclear_Import (firings),ATP_Regeneration (firings),Growth_Factor_Source (firings),Growth_Factor_Degradation (firings),Raf_Degradation (firings),MEK_Degradation (firings),ERK_Nuclear_Degradation (firings),MKP_Synthesis (firings),MKP_Degradation (firings),PP2A_Synthesis (firings),Raf_Deactivation (firings),PP2A_Degradation (firings),ADP_Source (firings),ADP_Sink (firings),MEK_Phosphorylation (firings),MEK_Dephosphorylation (firings),ERK_Phosphorylation (firings),ERK_Dephosphorylation (firings)
52.812000,114.977137,7.323237,68.877729,260.835853,317.416486,674.105489,0.017144,794.581650,0.067987,322.661286,1534.690794,2994.562619,703.2918877059959,277.2707274302976,46.90650696701997,22.043686154664705,7.066548956743219,8.478024034141882,5.401206566843923,16.434874674225934,51.61504943373946,7.737320054553703,4.224960000000062,20.708374190937334,11.901722728007362,26.406000000000887,544.059093893744,800.9265341915573,0.9436780008657272,603.5353784234084,3.603365316554607
52.866000,114.989148,7.321979,68.928862,260.987142,317.093257,674.420628,0.016576,794.572682,0.073429,322.462277,1534.369456,2993.867822,703.6422296458695,277.4642947250409,46.941343637505526,22.06259582477384,7.073448048810921,8.48611529420071,5.410741524618504,16.477153170892173,51.67444863500505,7.745587114069011,4.229280000000059,20.735486765395876,11.907301213759343,26.433000000000888,545.1370654834174,800.9276068288766,0.9441828155118897,603.5372221339596,3.610650778005155
52.920000,115.004599,7.315151,68.971713,261.138286,316.936262,674.561435,0.015794,794.563930,0.072397,322.269859,1534.216375,2993.005070,703.8172750447741,277.6577436196334,46.97617989408126,22.081497355214257,7.0768982272946115,8.502302959492624,5.420276376056898,16.519457899164774,51.73384783423112,7.762134887564641,4.233600000000055,20.753536805892566,11.918449293033744,26.46000000000089,546.2147349818606,800.9286405681711,0.9444344662683565,603.5426243762302,3.6150215391805944
52.974000,115.006246,7.319471,69.014551,261.482488,316.779347,674.702161,0.016046,794.558910,0.073854,321.881854,1534.109585,2992.669810,703.9922295055421,278.04429214901006,47.04585188989993,22.100395304348037,7.094149204982343,8.518492228643929,5.425043761140807,16.56180448359282,51.79324703044272,7.778696508072014,4.237920000000051,20.771576377442226,11.918449293033744,26.48700000000089,546.7534564087638,800.9293943220642,0.9454405328839042,603.5426243762302,3.6164783792572317
53.028000,115.018240,7.323791,69.057383,261.633219,316.291196,675.166013,0.015540,794.549882,0.074401,321.688207,1533.646283,2992.691092,704.5165451145028,278.2373912540668,47.11552385297534,22.1192896736034,7.10104991712809,8.542791052633058,5.434578442496979,16.604172024847124,51.85264622491907,7.795263657259109,4.242240000000048,20.807741513222293,11.918449293033744,26.51400000000089,547.29214895465,800.929900981512,0.9454405328839042,603.5464467994492,3.6208480966161303
53.082000,115.033675,7.328111,69.104348,261.880261,315.629629,675.819469,0.016037,794.544617,0.073121,321.400054,1532.994694,2992.709462,705.2143754395727,278.52682494574225,47.17358377912157,22.138175498196475,7.104500967952359,8.550901092480883,5.439345738761272,16.646563975330512,51.912045417473294,7.807697200096371,4.246560000000044,20.84400490576033,11.918449293033744,26.541000000000892,548.0104279533635,800.9301605824477,0.9461975971203489,603.5520966236489,3.625217423301943
53.136000,115.049101,7.315704,69.143010,262.126983,315.107220,676.317535,0.015534,794.540353,0.072751,321.111249,1532.513069,2992.366730,705.7367850013472,278.81599932038165,47.220031700196586,22.15705340416127,7.1079523557679405,8.57524493103899,5.444113009506437,16.689016753591748,51.97144460583357,7.82843472831262,4.25088000000004,20.84400490576033,11.935175940952304,26.568000000000893,548.9082327333891,800.9311666102797,0.9467005226902963,603.5539221425837,3.626673383665915
53.190000,115.067970,7.292211,69.189963,262.373417,314.412011,677.004628,0.014813,794.531540,0.075194,320.819895,1531.823680,2991.658523,706.4319941400369,279.1049107107298,47.231643603114904,22.17592236059273,7.1079523557679405,8.583360741460965,5.453647472413529,16.731493870813207,52.03084379222413,7.84088091132099,4.255200000000037,20.84400490576033,11.962989002752098,26.595000000000894,550.3444407044791,800.9321379312191,0.9469509089988117,603.5558468579718,3.6310410283563197
53.244000,115.083378,7.285430,69.228604,262.715713,314.265253,677.127013,0.013668,794.527917,0.071488,320.438787,1531.675238,2990.791936,706.6055687481999,279.4897258226745,47.266479028231544,22.19478257988106,7.111404520619621,8.607733947336504,5.458414663068869,16.77401262311241,52.09024297559882,7.861639369204084,4.259520000000033,20.87082224248597,11.974089919950222,26.622000000000895,551.4213044010172,800.9332826056043,0.9469509089988117,603.5595534417794,3.6310410283563197
53.298000,115.095325,7.284202,69.267231,262.865373,313.954105,677.421908,0.013024,794.519027,0.070874,320.247164,1531.366460,2990.276974,706.9524584232205,279.6819613254669,47.312925898447666,22.213635309620706,7.118309859644193,8.623986765471793,5.467948973375661,16.81658853571592,52.14964215495284,7.882411397814924,4.263840000000029,20.90656390431077,11.979638287690172,26.649000000000896,552.3184918574956,800.9339266334,0.9469509089988117,603.5630771577203,3.6339515105902387
