Time (s),Growth_Factor (mM),PP2A (mM),MKP (mM),ERK_Nuclear (mM),Phase_Rest (mM),Phase_Pulse (mM),Phase_Recovery (mM),Raf_inactive (mM),Raf_active (mM),MEK_inactive (mM),MEK_PP (mM),ERK_inactive (mM),ERK_PP (mM),ATP (mM),ADP (mM),Raf_Activation (firings),ERK_Nuclear_Import (firings),ATP_Regeneration (firings),Growth_Factor_Source (firings),Growth_Factor_Degradation (firings),Raf_Degradation (firings),MEK_Degradation (firings),ERK_Nuclear_Degradation (firings),MKP_Synthesis (firings),MKP_Degradation (firings),PP2A_Synthesis (firings),Raf_Deactivation (firings),PP2A_Degradation (firings),ADP_Source (firings),ADP_Sink (firings),Start_Pulse (firings),End_Pulse (firings),GF_MKP_Feedforward (firings),MEK_Phosphorylation (firings),MEK_Dephosphorylation (firings),ERK_Phosphorylation (firings),ERK_Dephosphorylation (firings)
70.740000,0.294040,37.104644,61.917866,10.114430,0.000000,1.000000,0.000000,902.863323,95.734799,673.556256,125.782322,571.074111,18.209073,4309.417799,684.787732,609.7880994180911,10.716816679552007,36.33550351488278,3.044574000049814,2.7505340584071427,1.4018779275508266,0.6614216816823322,0.6023870124465254,63.80265747583064,1.8847914829461234,21.22200000000119,62.20539710416034,4.117356299856057,35.370000000001156,77.49997210251253,1,0,0.0,160.49038350873604,34.046639391737095,123.29743148318533,94.37154204055628
70.794000,0.296745,37.114165,62.026638,10.129294,0.000000,1.000000,0.000000,902.567479,96.027186,673.277986,126.058323,570.945154,18.321526,4307.962722,686.209268,610.5341796551891,10.733320906331889,36.39834376677508,3.0472794000498133,2.7505340584071427,1.4053350306887178,0.6636907723437228,0.6040272439815243,63.91700858885916,1.8903709543108806,21.238200000001196,62.20539710416034,4.124035135722084,35.39700000000116,77.62335369042343,1,0,0.0,160.7686533728948,34.046639391737095,123.63019852371002,94.57535208873514
70.848000,0.299451,37.123682,62.145176,10.177969,0.000000,1.000000,0.000000,902.222681,96.371984,673.277986,126.056054,570.612312,18.604045,4306.763696,687.374454,612.0346482661568,10.783642380321588,36.4611964971727,3.049984800049813,2.7505340584071427,1.4053350306887178,0.6659598221614814,0.6056735370999203,64.03554663363191,1.8903709543108806,21.2544000000012,62.45679502576221,4.1307176293976555,35.42400000000116,77.74704637799923,1,0,0.0,160.7686533728948,34.046639391737095,123.96303984770242,94.57535208873514
70.902000,0.302156,37.133200,62.260329,10.209422,0.000000,1.000000,0.000000,901.923230,96.671435,673.429517,125.902257,570.816631,18.366622,4306.495675,687.453359,612.7870354687115,10.81674698476417,36.492626077892844,3.0526902000498124,2.7505340584071427,1.4053350306887178,0.6682261035848945,0.6073249608443271,64.15069974789044,1.8903709543108806,21.270600000001206,62.45679502576221,4.137399892224365,35.45100000000116,77.99459156274318,1,0,0.0,160.7686533728948,34.19817002778034,123.96303984770242,94.77967067777922
70.956000,0.299390,37.149400,62.361134,10.207768,0.000000,1.000000,0.000000,901.872259,96.715442,673.429517,125.902257,571.019047,18.164206,4306.224047,687.535899,613.5461480946926,10.81674698476417,36.524055471599844,3.055395600049812,2.756005333756714,1.4122989185589527,0.6682261035848945,0.6089787979017859,64.2627209234767,1.901587390788407,21.28680000000121,62.708881619111786,4.137399892224365,35.47800000000116,78.24211028908738,1,0,0.0,160.7686533728948,34.19817002778034,123.96303984770242,94.98208732360294
71.010000,0.302096,37.158912,62.470850,10.222874,0.000000,1.000000,0.000000,901.872259,96.711960,673.150600,126.178903,570.561223,18.605271,4304.406535,689.319409,613.5461480946926,10.833506812111843,36.5869297069025,3.0581010000498114,2.756005333756714,1.415780674470226,0.6704973647192286,0.6106332720827857,64.37805303421999,1.907203307992321,21.303000000001216,62.708881619111786,4.144087756243765,35.50500000000116,78.3659857262034,1,0,0.0,161.04757026103715,34.19817002778034,124.62431608318785,95.18553871212247
71.064000,0.299331,37.175112,62.588691,10.271401,0.000000,1.000000,0.000000,901.821422,96.755830,672.872054,126.457448,570.561223,18.555082,4303.640777,690.206498,614.3022419471696,10.883695845376801,36.68126033432374,3.060806400049811,2.7614755205499923,1.4227474704397887,0.6704973647192286,0.6122947100153676,64.49589439591404,1.907203307992321,21.31920000000122,62.96104244614503,4.144087756243765,35.53200000000116,78.3659857262034,1,0,0.0,161.32611556404638,34.19817002778034,124.62431608318785,95.18553871212247
71.118000,0.302036,37.191312,62.704040,10.302934,0.000000,1.000000,0.000000,902.073652,96.503600,672.897802,126.431701,570.765036,18.318067,4303.116436,690.540626,614.3022419471696,10.916896530350723,36.7127045631283,3.0635118000498105,2.7614755205499923,1.4227474704397887,0.6704973647192286,0.613962183391524,64.61124367366216,1.907203307992321,21.335400000001226,63.2132720232684,4.144087756243765,35.55900000000116,78.61464262700134,1,0,0.0,161.6040081595383,34.50181000767308,124.62431608318785,95.38935221910283
71.172000,0.304742,37.207512,62.818248,10.317749,0.000000,1.000000,0.000000,902.073652,96.503600,673.049583,126.275374,570.843297,18.223320,4302.489453,690.977364,614.3022419471696,10.933382790951084,36.74415384400475,3.06621720004981,2.7614755205499923,1.4227474704397887,0.6750434009259784,0.6156338392572821,64.7254513092672,1.907203307992321,21.35160000000123,63.2132720232684,4.144087756243765,35.586000000001164,78.86333663665238,1,0,0.0,161.6040081595383,34.65359075471345,124.9535323723486,95.79682986489286
71.226000,0.307447,37.217013,62.925370,10.316078,0.000000,1.000000,0.000000,902.020013,96.557239,672.925207,126.399750,571.442252,17.624366,4301.694247,691.738001,615.0602891689196,10.933382790951084,36.80705977152183,3.0689226000498095,2.7614755205499923,1.4227474704397887,0.6750434009259784,0.6173052243294133,64.83257334584447,1.907203307992321,21.367800000001235,63.46527686837071,4.150787052447643,35.613000000001165,78.98781200660504,1,0,0.0,161.88024248925052,34.80544931704337,124.9535323723486,96.39578400242233
71.280000,0.310152,37.226513,63.032325,10.362535,0.000000,1.000000,0.000000,901.712566,96.864686,672.925207,126.395199,571.113925,17.904559,4300.761603,692.479868,615.8214683994274,10.981516486229275,36.8385170177835,3.071628000049809,2.7614755205499923,1.4227474704397887,0.6795937509642256,0.6189815225037995,64.93952789461233,1.907203307992321,21.38400000000124,63.46527686837071,4.157487086778204,35.640000000001166,79.2370457634099,1,0,0.0,161.88024248925052,34.80544931704337,125.28185932789665,96.39578400242233
71.334000,0.307259,37.242713,63.134532,10.377085,0.000000,1.000000,0.000000,901.402414,97.171340,673.077002,126.241129,570.985525,18.016729,4299.860171,693.346518,616.587429838386,10.997746149282127,36.90143830162527,3.0743334000498086,2.767074497580992,1.4262457646323934,0.6818688645538079,0.6206610389199037,65.04740871317841,1.9128762172051168,21.400200000001245,63.46527686837071,4.157487086778204,35.66700000000117,79.36174958717066,1,0,0.0,161.88024248925052,34.95724417060853,125.60895975824388,96.59448432440045
71.388000,0.309964,37.258913,63.237566,10.391617,0.000000,1.000000,0.000000,901.655140,96.915116,673.077002,126.238857,571.185013,17.801025,4299.923094,693.248716,616.587429838386,11.013961205638232,36.96436154877943,3.077038800049808,2.767074497580992,1.429743932886407,0.6841412048839814,0.6223446626279587,65.1561272816737,1.9185616153421812,21.41640000000125,63.718002981498195,4.157487086778204,35.69400000000117,79.48655196039809,1,0,0.0,161.88024248925052,34.95724417060853,125.60895975824388,96.79397323658405
71.442000,0.312670,37.268404,63.345119,10.389933,0.000000,1.000000,0.000000,901.907622,96.659154,673.077002,126.238857,570.614201,18.371837,4297.998335,694.981802,616.587429838386,11.013961205638232,36.995826979762974,3.0797442000498076,2.767074497580992,1.4332237876972043,0.6841412048839814,0.6240280136037012,65.2693724793453,1.924252996252151,21.432600000001255,63.97048545612626,4.164195635102585,35.72100000000117,79.73669080543836,1,0,0.0,161.88024248925052,34.95724417060853,126.58707223537806,97.20127353895633
71.496000,0.315375,37.284604,63.453644,10.388250,0.000000,1.000000,0.000000,902.159874,96.406903,673.106607,126.209252,570.694519,18.291520,4296.798790,695.832588,616.587429838386,11.013961205638232,36.995826979762974,3.082449600049807,2.767074497580992,1.4332237876972043,0.6841412048839814,0.6257110918913114,65.38360131416545,1.9299574198447718,21.44880000000126,64.22273661506853,4.164195635102585,35.74800000000117,80.11244872304704,1,0,0.0,162.15433023895582,35.260936854537356,126.91275666969139,97.607275659221
71.550000,0.318081,37.300804,63.565907,10.403027,0.000000,1.000000,0.000000,901.843597,96.719709,673.106607,126.204709,570.774521,18.195055,4295.896578,696.699450,617.36208741392,11.030423573462581,37.058784721763004,3.0851550000498067,2.767074497580992,1.4366944361915066,0.6886846970706471,0.6273965642945395,65.49586451661644,1.9299574198447718,21.465000000001265,64.22273661506853,4.164195635102585,35.77500000000117,80.23775713875045,1,0,0.0,162.15433023895582,35.260936854537356,127.23720320270762,98.01172469623538
71.604000,0.315060,37.310288,63.681620,10.434365,0.000000,1.000000,0.000000,901.843597,96.719709,673.258351,126.050692,570.333230,18.603319,4294.696409,698.021074,617.36208741392,11.06345151978841,37.1532399498594,3.087860400049806,2.7727999466254336,1.4366944361915066,0.6909563818270194,0.6290862147720464,65.6115772030968,1.9299574198447718,21.48120000000127,64.22273661506853,4.170911723888268,35.80200000000117,80.23775713875045,1,0,0.0,162.15433023895582,35.41268143859216,127.88451520903392,98.21774489845761
71.658000,0.317766,37.326488,63.797652,10.465959,0.000000,1.000000,0.000000,902.033623,96.529683,673.137578,126.171465,570.537474,18.365787,4293.899142,698.782525,618.1309702348025,11.096738604809207,37.2162236615914,3.0905658000498057,2.7727999466254336,1.4366944361915066,0.6909563818270194,0.630780096271987,65.72760971048412,1.9299574198447718,21.497400000001274,64.72782319618929,4.170911723888268,35.82900000000117,80.36355739725,1,0,0.0,162.42692566998747,35.564503953940935,127.88451520903392,98.42198947001324
71.712000,0.320471,37.335970,63.905569,10.481372,0.000000,1.000000,0.000000,902.285808,96.277498,673.137578,126.169194,569.892611,18.993541,4292.672411,699.973471,618.1309702348025,11.113848190231687,37.27921958192477,3.0932712000498053,2.7727999466254336,1.4366944361915066,0.6932274682030353,0.6324764139134257,65.8470130501811,1.9414439276426179,21.51360000000128,64.98000825364439,4.177630491777969,35.856000000001174,80.48933825170302,1,0,0.0,162.42692566998747,35.564503953940935,128.5293785442443,98.42198947001324
71.766000,0.317408,37.345448,64.023218,10.513842,0.000000,1.000000,0.000000,901.970203,96.586159,673.137578,126.169194,569.892611,18.959368,4292.451309,700.316075,618.8978655754293,11.148021179054771,37.37372283537461,3.095976600049805,2.778568429187075,1.4436376530139805,0.6932274682030353,0.6341789180213403,65.9704206458383,1.9472028357233833,21.529800000001284,64.98000825364439,4.18435193828945,35.883000000001175,80.48933825170302,1,0,0.0,162.42692566998747,35.564503953940935,128.5293785442443,98.42198947001324
71.820000,0.314400,37.354925,64.129249,10.512139,0.000000,1.000000,0.000000,901.656705,96.896169,673.289343,126.017430,569.892611,18.959368,4292.169313,700.404481,619.6575208654065,11.148021179054771,37.40522505885511,3.0986820000498043,2.784281776262607,1.4471260406827622,0.6932274682030353,0.6358820684941912,66.09374810824863,1.9644986479532272,21.54600000000129,64.98000825364439,4.191075090940559,35.910000000001176,80.74143096850747,1,0,0.0,162.42692566998747,35.71626855379069,128.5293785442443,98.42198947001324
71.874000,0.317106,37.371125,64.247891,10.544543,0.000000,1.000000,0.000000,901.909302,96.643572,673.441036,125.863470,569.573118,19.244749,4291.593335,700.944392,619.6575208654065,11.182132684178093,37.468232588344904,3.101387400049804,2.784281776262607,1.4471260406827622,0.6954930514516596,0.6375895483404169,66.21816850691243,1.9702776584275261,21.562200000001294,65.23260521686079,4.191075090940559,35.93700000000118,80.86750539505738,1,0,0.0,162.42692566998747,35.86796216710074,128.84887131772103,98.42198947001324
71.928000,0.319811,37.380598,64.365621,10.542835,0.000000,1.000000,0.000000,901.592196,96.957187,673.592662,125.711845,569.466082,19.351786,4290.669690,701.673878,620.4234699337204,11.182132684178093,37.499739673097025,3.1040928000498034,2.784281776262607,1.4506166250813683,0.6954930514516596,0.6392976720864196,66.3474664142309,1.9818455781853448,21.5784000000013,65.23260521686079,4.197801893424191,35.96400000000118,81.12017134915631,1,0,0.0,162.42692566998747,36.01958769442723,129.1678946622282,98.63397625636898
71.982000,0.305507,37.390069,64.487421,10.558541,0.000000,1.000000,0.000000,901.592196,96.957187,673.744220,125.558024,569.676281,19.124170,4290.732709,701.574574,620.4234699337204,11.199549291327607,37.56275851532227,3.106798200049803,2.8012909853866943,1.4506166250813683,0.6977558646602936,0.6410083404693184,66.4750636730297,1.9876423413100137,21.594600000001304,65.23260521686079,4.204531373083376,35.99100000000118,81.24647588725244,1,0,0.0,162.42692566998747,36.17114537169391,129.1678946622282,98.84417518010335
72.036000,0.308213,37.406269,64.614054,10.608699,0.000000,1.000000,0.000000,901.538807,97.010576,673.626487,125.673492,569.359377,19.389199,4289.285289,702.827596,621.1603369776282,11.25142330580892,37.594271428708524,3.1095036000498024,2.8012909853866943,1.4506166250813683,0.7000207575580281,0.6427243202024984,66.6016959041445,1.9876423413100137,21.61080000000131,65.48562539163844,4.204531373083376,36.01800000000118,81.49938640238346,1,0,0.0,162.69628444382695,36.322771464843605,129.48479772689822,98.84417518010335
72.090000,0.305370,37.415735,64.729797,10.606980,0.000000,1.000000,0.000000,901.538807,97.007084,673.357791,125.939927,569.570014,19.178563,4288.779414,703.138894,621.1603369776282,11.25142330580892,37.62578962193095,3.112209000049802,2.8068388124506334,1.454109005817172,0.7022828804180137,0.6444428366349384,66.72907664070318,1.9992800197562939,21.627000000001313,65.48562539163844,4.211265473436222,36.04500000000118,81.75248153605706,1,0,0.0,162.96498095933177,36.322771464843605,129.48479772689822,99.05481144952806
72.144000,0.302579,37.431935,64.853028,10.622520,0.000000,1.000000,0.000000,901.742757,96.799642,673.357791,125.939927,569.986066,18.745250,4288.509254,703.214406,621.8825953249462,11.268684012483325,37.65730655296294,3.1149144000498015,2.8123354758274215,1.4576012608272693,0.7022828804180137,0.6461638707662369,66.85230832995188,1.9992800197562939,21.64320000000132,65.99125211624445,4.211265473436222,36.07200000000118,82.00564629802443,1,0,0.0,162.96498095933177,36.322771464843605,129.48479772689822,99.47086403334546
72.198000,0.294441,37.434657,64.972854,10.671361,0.000000,1.000000,0.000000,901.693074,96.849325,673.357791,125.939927,569.986066,18.694683,4288.269714,703.417350,622.6063827997729,11.319250649330774,37.720345340051004,3.117619800049801,2.823178686544785,1.4576012608272693,0.7022828804180137,0.6478900887442044,66.97213389826456,1.9992800197562939,21.659400000001323,66.24414794301082,4.224742672896149,36.09900000000118,82.13228097534858,1,0,0.0,162.96498095933177,36.322771464843605,129.48479772689822,99.47086403334546
