time,P1,P13,P14,P15,P16,P17,P18,P2,P24,P3,P5,T1,T10,T11,T12,T13,T14,T15,T16,T17,T18,T20,T6,T7,T8,T9
4.1039999999999335,5051.517021509017,4.0,6.0,3.0,2.0,3.0,4.0,5266.833655917291,5.0,99.5895999999961,9.0,424,398,412,428,396,412,25,16,1,411,1691.65688363621,415,423,411,436
4.1579999999999355,5060.153762190642,4.0,6.0,3.0,2.0,3.0,4.0,5274.685238355133,5.0,99.58419999999604,9.0,424,398,412,428,396,412,25,16,1,411,1691.8728021532506,415,423,411,436
4.211999999999938,5047.7904601350065,4.0,6.0,3.0,2.0,4.0,4.0,5282.536781940919,5.0,99.578799999996,8.0,425,398,413,428,396,412,25,16,1,411,1692.0887196018596,415,423,411,436
4.26599999999994,5056.427115337898,4.0,6.0,3.0,2.0,4.0,4.0,5290.38828667082,5.0,99.57339999999594,8.0,425,398,413,428,396,412,25,16,1,411,1692.3046359819318,415,423,411,436
4.319999999999942,5065.063727795104,4.0,6.0,3.0,2.0,4.0,4.0,5298.239752541006,5.0,99.56799999999589,8.0,425,398,413,428,396,412,25,16,1,411,1692.5205512933621,415,423,411,436
4.373999999999944,5073.70029750241,4.0,6.0,3.0,2.0,4.0,4.0,5306.0911795476495,5.0,99.56259999999584,8.0,425,398,413,428,396,412,25,16,1,411,1692.736465536045,415,423,411,436
4.427999999999946,5066.336824455602,4.0,6.0,3.0,2.0,5.0,4.0,5313.942567686917,5.0,99.55719999999579,8.0,425,398,414,428,396,412,25,16,1,411,1692.9523787098751,415,423,411,436
4.481999999999948,5049.9733086504675,4.0,6.0,3.0,2.0,5.0,4.0,5321.7939169549745,5.0,99.55179999999574,7.0,426,398,414,428,396,413,25,16,1,411,1693.168290814747,415,423,411,436
4.53599999999995,5058.609750082788,4.0,6.0,3.0,2.0,5.0,4.0,5329.645227347993,5.0,99.54639999999569,7.0,426,398,414,428,396,413,25,16,1,411,1693.3842018505552,415,423,411,436
4.589999999999952,5067.246148748348,4.0,6.0,3.0,2.0,5.0,4.0,5337.49649886214,5.0,99.54099999999563,7.0,426,398,414,428,396,413,25,16,1,411,1693.600111817194,415,423,411,436
4.643999999999954,5063.88250464293,4.0,6.0,4.0,2.0,5.0,4.0,5345.347731493579,5.0,99.53559999999558,7.0,426,398,414,428,396,413,25,16,1,411,1693.8160207145584,415,423,412,436
4.697999999999956,5056.518817762321,4.0,6.0,4.0,2.0,6.0,4.0,5353.19892523848,5.0,99.53019999999553,7.0,426,398,415,428,396,413,25,16,1,411,1694.0319285425428,415,423,412,436
4.751999999999958,5065.1550881023,4.0,6.0,4.0,2.0,6.0,4.0,5361.050080093008,5.0,99.52479999999548,7.0,426,398,415,428,396,413,25,16,1,411,1694.2478353010424,415,423,412,436
4.80599999999996,5068.791315658649,4.0,6.0,4.0,2.0,6.0,4.0,5368.901196053327,5.0,99.51939999999543,6.0,427,398,415,428,396,413,25,16,1,411,1694.4637409899515,415,423,412,436
4.859999999999962,5029.427500427149,4.0,7.0,4.0,2.0,6.0,4.0,5326.7522731156,6.0,99.51399999999538,6.0,427,398,415,428,396,413,25,16,1,412,1694.6796456091638,415,424,412,436
4.913999999999964,5022.06364240358,4.0,7.0,4.0,2.0,7.0,4.0,5334.6033112759915,6.0,99.50859999999533,6.0,427,398,416,428,396,413,25,16,1,412,1694.8955491585743,415,424,412,436
4.967999999999966,5010.699741583722,4.0,7.0,4.0,2.0,7.0,4.0,5342.454310530667,6.0,99.50319999999527,6.0,427,398,416,428,397,413,25,16,1,412,1695.1114516380778,415,424,412,436
5.021999999999968,5019.335797963355,4.0,7.0,4.0,2.0,7.0,4.0,5350.305270875787,6.0,99.49779999999522,6.0,427,398,416,428,397,413,25,16,1,412,1695.3273530475687,415,424,412,436
5.07599999999997,5022.971811538256,4.0,7.0,4.0,2.0,7.0,4.0,5358.156192307514,6.0,99.49239999999517,5.0,428,398,416,428,397,413,25,16,1,412,1695.5432533869416,415,424,412,436
5.129999999999972,5021.6077823042015,4.0,7.0,4.0,2.0,7.0,4.0,5366.0070748220105,6.0,99.48699999999512,5.0,428,399,416,428,397,413,25,16,1,412,1695.7591526560905,415,424,412,436
5.183999999999974,5030.24371025697,4.0,7.0,4.0,2.0,7.0,4.0,5373.857918415436,6.0,99.48159999999507,5.0,428,399,416,428,397,413,25,16,1,412,1695.9750508549096,415,424,412,436
5.2379999999999765,5028.87959539234,5.0,7.0,4.0,2.0,7.0,4.0,5381.7087230839525,6.0,99.47619999999502,5.0,428,399,416,428,397,413,25,16,1,412,1696.1909479832937,416,424,412,436
5.2919999999999785,5027.515437706084,6.0,7.0,4.0,2.0,7.0,4.0,5389.55948882372,6.0,99.47079999999497,5.0,428,399,416,428,397,413,25,16,1,412,1696.4068440411372,417,424,412,436
5.3459999999999805,5036.151237193979,6.0,7.0,4.0,2.0,7.0,4.0,5397.410215630897,6.0,99.46539999999491,5.0,428,399,416,428,397,413,25,16,1,412,1696.6227390283348,417,424,412,436
5.399999999999983,5044.7869938518,6.0,7.0,4.0,3.0,7.0,4.0,5390.260903501642,6.0,99.45999999999486,6.0,428,399,416,428,397,413,25,16,1,412,1696.8386329447803,417,424,412,437
5.453999999999985,5053.422707675319,6.0,7.0,4.0,3.0,7.0,4.0,5398.111552432114,6.0,99.45459999999481,6.0,428,399,416,428,397,413,25,16,1,412,1697.0545257903682,417,424,412,437
5.507999999999987,5062.058378660311,6.0,7.0,4.0,3.0,7.0,4.0,5405.96216241847,6.0,99.44919999999476,6.0,428,399,416,428,397,413,25,16,1,412,1697.270417564993,417,424,412,437
5.561999999999989,5070.694006802549,6.0,7.0,4.0,3.0,7.0,4.0,5413.812733456869,6.0,99.44379999999471,6.0,428,399,416,428,397,413,25,16,1,412,1697.486308268549,417,424,412,437
5.615999999999991,5079.329592097804,6.0,7.0,4.0,4.0,7.0,4.0,5406.663265543463,6.0,99.43839999999466,6.0,428,399,416,428,397,413,25,16,1,412,1697.7021979009303,417,424,412,438
5.669999999999993,5087.96513454185,6.0,7.0,4.0,4.0,7.0,4.0,5414.513758674411,6.0,99.4329999999946,6.0,428,399,416,428,397,413,25,16,1,412,1697.918086462031,417,424,412,438
5.723999999999995,5066.600634130456,7.0,7.0,4.0,4.0,7.0,4.0,5422.36421284587,6.0,99.42759999999456,6.0,428,399,416,428,398,413,25,16,1,412,1698.133973951746,418,424,412,438
5.777999999999997,5075.236090859389,7.0,7.0,4.0,4.0,7.0,4.0,5430.214628053992,6.0,99.4221999999945,6.0,428,399,416,428,398,413,25,16,1,412,1698.349860369969,418,424,412,438
5.831999999999999,5035.871504724424,7.0,7.0,4.0,5.0,8.0,5.0,5423.065004294932,7.0,99.41679999999445,6.0,428,399,417,429,398,413,25,16,1,413,1698.5657457165948,418,424,412,439
