time,P1,P13,P14,P15,P16,P17,P18,P2,P21,P24,P3,P5,T1,T10,T11,T12,T13,T14,T15,T16,T17,T18,T20,T6,T7,T8,T9
13.23000000000028,175.45468464621027,10.0,11.0,14.0,8.0,18.0,10.0,4254.239430879997,0.008488501046714537,17.0,100.0,0.0,393,444,426,447,436,436,4.315976221916363,4.546069950114041,0.03578425670133174,410,1732.9199999967066,452,411,437,423
13.284000000000281,164.0826766765917,10.0,11.0,14.0,8.0,18.0,10.0,4262.092351884905,0.00854366792655311,17.0,100.0,0.0,393,446,426,447,436,436,4.316031388796201,4.546151091134475,0.03578428928594384,410,1733.1359999967056,452,411,437,423
13.338000000000283,172.71186517683716,10.0,11.0,14.0,8.0,18.0,10.0,4269.944863559942,0.008570498040519086,17.0,100.0,0.0,393,446,426,447,436,436,4.316058218910167,4.546252697238949,0.03578432243435064,410,1733.3519999967045,452,411,437,423
13.392000000000285,181.3384975656994,10.0,11.0,14.0,8.0,18.0,10.0,4277.798151537838,0.00865394210567853,17.0,100.0,0.0,393,446,426,447,436,436,4.316141662975327,4.546315487296723,0.03578435594426641,410,1733.5679999967035,452,411,437,423
13.446000000000287,189.9716519751208,10.0,11.0,14.0,8.0,18.0,10.0,4285.650982767628,0.00865394210567853,17.0,100.0,0.0,393,446,426,447,436,436,4.316141662975327,4.546401057178957,0.03578441248651829,410,1733.7839999967025,452,411,437,423
13.50000000000029,198.59750602762318,10.0,11.0,14.0,8.0,18.0,10.0,4293.504210790778,0.008742772917403921,17.0,100.0,0.0,393,446,426,447,436,436,4.316230493787052,4.546466843008021,0.03578444678281903,410,1733.9999999967015,452,411,437,423
13.554000000000292,187.22621856986368,10.0,11.0,14.0,8.0,18.0,10.0,4301.357406434885,0.008801747183268755,17.0,100.0,0.0,393,446,426,447,436,437,4.316289468052918,4.546534218397684,0.03578449283573388,410,1734.2159999967005,452,411,437,423
13.608000000000294,195.8522541685716,10.0,11.0,14.0,9.0,18.0,10.0,4294.209197232714,0.008831251566066884,17.0,100.0,0.0,393,446,426,447,436,437,4.316318972435716,4.546671892935339,0.035784516155005594,410,1734.4319999966995,452,411,437,424
13.662000000000296,204.48360892029228,10.0,11.0,14.0,9.0,18.0,10.0,4302.0623358657085,0.008861550324234746,17.0,100.0,0.0,393,446,426,447,436,437,4.316349271193884,4.546742085091122,0.03578457572374863,410,1734.6479999966984,452,411,437,424
13.716000000000298,213.10742094603677,10.0,11.0,14.0,9.0,18.0,10.0,4309.915922247822,0.008985139283069944,17.0,100.0,0.0,393,446,426,447,436,437,4.31647286015272,4.546789948570773,0.035784611780572614,410,1734.8639999966974,452,411,437,424
13.7700000000003,221.72889316629235,10.0,11.0,14.0,9.0,18.0,10.0,4317.769000928695,0.009111794663454707,17.0,100.0,1.0,393,446,426,447,436,437,4.316599515533104,4.546863226592097,0.035784636045504,410,1735.0799999966964,452,411,437,424
13.824000000000302,230.35640105064803,10.0,11.0,14.0,9.0,18.0,10.0,4325.622053027992,0.009177079530989452,17.0,100.0,1.0,393,446,426,447,436,437,4.316664800400639,4.546937771953234,0.03578468500603101,410,1735.2959999966954,452,411,437,424
13.878000000000304,238.98108949823109,10.0,11.0,14.0,10.0,18.0,10.0,4318.476091829681,0.00931002764404934,17.0,100.0,1.0,393,446,426,447,436,437,4.316797748513699,4.5469629812171215,0.03578473435763914,410,1735.5119999966944,452,411,437,425
13.932000000000306,247.59464424517216,10.0,11.0,14.0,10.0,18.0,10.0,4326.329089235669,0.009512558232326197,17.0,100.0,1.0,393,446,426,447,436,437,4.3170002791019755,4.5470403836450135,0.03578473435763914,410,1735.7279999966934,452,411,437,425
13.986000000000308,256.2214969577508,10.0,11.0,14.0,12.0,18.0,10.0,4304.182067011073,0.009581424629773643,17.0,100.0,1.0,393,446,426,447,436,437,4.317069145499423,4.547118641740972,0.03578478470211591,410,1735.9439999966924,452,411,437,427
14.04000000000031,264.84597699468435,10.0,11.0,14.0,12.0,18.0,10.0,4312.034487494129,0.009651701481928976,17.0,100.0,1.0,393,446,426,447,436,437,4.317139422351579,4.547224795214106,0.03578482274263722,410,1736.1599999966913,452,411,437,427
14.094000000000312,263.46538170194236,11.0,11.0,14.0,12.0,18.0,10.0,4319.887425045368,0.009793389960956241,17.0,100.0,1.0,393,446,426,447,436,437,4.3172811108306055,4.547305125774594,0.03578484858458698,410,1736.3759999966903,453,411,437,427
14.148000000000314,272.0868230485872,11.0,11.0,14.0,12.0,18.0,10.0,4327.740895951771,0.009936072422996834,17.0,100.0,1.0,393,446,426,447,436,437,4.317423793292646,4.547358755863981,0.035784887511713985,410,1736.5919999966893,453,411,437,427
14.202000000000316,264.7070974489414,11.0,11.0,14.0,12.0,18.0,11.0,4335.593149201085,0.010041698122423474,17.0,100.0,1.0,393,446,426,448,436,437,4.3175294189920725,4.547473293735268,0.03578491646782667,410,1736.8079999966883,453,411,437,427
14.256000000000318,253.32585220250056,11.0,11.0,14.0,12.0,18.0,11.0,4343.444164592288,0.010112977744381167,17.0,100.0,1.0,393,446,426,448,437,437,4.31760069861403,4.54764975978833,0.035784931313457315,410,1737.0239999966873,453,411,437,427
14.31000000000032,261.9476240148966,11.0,11.0,14.0,12.0,18.0,11.0,4351.2969677647025,0.010225658184884618,17.0,100.0,1.0,393,446,426,448,437,437,4.317713379054533,4.547736761582748,0.035784976238324766,410,1737.2399999966863,453,411,437,427
14.364000000000322,254.56277946928844,11.0,11.0,14.0,12.0,18.0,12.0,4359.149010884633,0.010374043524912191,17.0,100.0,2.0,393,446,426,449,437,437,4.317861764394561,4.547861836727817,0.035784992872624564,410,1737.4559999966853,453,411,437,427
14.418000000000324,233.18772172365775,11.0,11.0,14.0,12.0,18.0,12.0,4367.001680430891,0.010449718911946619,17.0,100.0,2.0,393,447,426,449,438,437,4.317937439781595,4.547955464314408,0.035785060003750035,410,1737.6719999966842,453,411,437,427
