Time (s),Glucose (mM),ATP (mM),G6P (mM),ADP (mM),Hexokinase (firings)
0.402000,4999.598062,2999.598062,100.401938,100.401938,134
0.405000,4999.595062,2999.595062,100.404938,100.404938,135
0.408000,4999.592063,2999.592063,100.407937,100.407937,136
0.411000,4999.589063,2999.589063,100.410937,100.410937,137
0.414000,4999.586063,2999.586063,100.413937,100.413937,138
0.417000,4999.583064,2999.583064,100.416936,100.416936,139
0.420000,4999.580064,2999.580064,100.419936,100.419936,140
0.423000,4999.577065,2999.577065,100.422935,100.422935,141
0.426000,4999.574065,2999.574065,100.425935,100.425935,142
0.429000,4999.571066,2999.571066,100.428934,100.428934,143
0.432000,4999.568066,2999.568066,100.431934,100.431934,144
0.435000,4999.565067,2999.565067,100.434933,100.434933,145
0.438000,4999.562067,2999.562067,100.437933,100.437933,146
0.441000,4999.559068,2999.559068,100.440932,100.440932,147
0.444000,4999.556068,2999.556068,100.443932,100.443932,148
0.447000,4999.553069,2999.553069,100.446931,100.446931,149
0.450000,4999.550069,2999.550069,100.449931,100.449931,150
0.453000,4999.547069,2999.547069,100.452931,100.452931,151
0.456000,4999.544070,2999.544070,100.455930,100.455930,152
0.459000,4999.541070,2999.541070,100.458930,100.458930,153
0.462000,4999.538071,2999.538071,100.461929,100.461929,154
0.465000,4999.535071,2999.535071,100.464929,100.464929,155
0.468000,4999.532072,2999.532072,100.467928,100.467928,156
0.471000,4999.529072,2999.529072,100.470928,100.470928,157
0.474000,4999.526073,2999.526073,100.473927,100.473927,158
0.477000,4999.523073,2999.523073,100.476927,100.476927,159
0.480000,4999.520074,2999.520074,100.479926,100.479926,160
0.483000,4999.517074,2999.517074,100.482926,100.482926,161
0.486000,4999.514075,2999.514075,100.485925,100.485925,162
0.489000,4999.511075,2999.511075,100.488925,100.488925,163
0.492000,4999.508075,2999.508075,100.491925,100.491925,164
0.495000,4999.505076,2999.505076,100.494924,100.494924,165
0.498000,4999.502076,2999.502076,100.497924,100.497924,166
0.501000,4999.499077,2999.499077,100.500923,100.500923,167
0.504000,4999.496077,2999.496077,100.503923,100.503923,168
0.507000,4999.493078,2999.493078,100.506922,100.506922,169
0.510000,4999.490078,2999.490078,100.509922,100.509922,170
0.513000,4999.487079,2999.487079,100.512921,100.512921,171
0.516000,4999.484079,2999.484079,100.515921,100.515921,172
0.519000,4999.481080,2999.481080,100.518920,100.518920,173
0.522000,4999.478080,2999.478080,100.521920,100.521920,174
0.525000,4999.475080,2999.475080,100.524920,100.524920,175
0.528000,4999.472081,2999.472081,100.527919,100.527919,176
0.531000,4999.469081,2999.469081,100.530919,100.530919,177
0.534000,4999.466082,2999.466082,100.533918,100.533918,178
0.537000,4999.463082,2999.463082,100.536918,100.536918,179
0.540000,4999.460083,2999.460083,100.539917,100.539917,180
0.543000,4999.457083,2999.457083,100.542917,100.542917,181
0.546000,4999.454084,2999.454084,100.545916,100.545916,182
0.549000,4999.451084,2999.451084,100.548916,100.548916,183
0.552000,4999.448085,2999.448085,100.551915,100.551915,184
0.555000,4999.445085,2999.445085,100.554915,100.554915,185
0.558000,4999.442086,2999.442086,100.557914,100.557914,186
0.561000,4999.439086,2999.439086,100.560914,100.560914,187
0.564000,4999.436086,2999.436086,100.563914,100.563914,188
0.567000,4999.433087,2999.433087,100.566913,100.566913,189
0.570000,4999.430087,2999.430087,100.569913,100.569913,190
0.573000,4999.427088,2999.427088,100.572912,100.572912,191
0.576000,4999.424088,2999.424088,100.575912,100.575912,192
0.579000,4999.421089,2999.421089,100.578911,100.578911,193
0.582000,4999.418089,2999.418089,100.581911,100.581911,194
0.585000,4999.415090,2999.415090,100.584910,100.584910,195
0.588000,4999.412090,2999.412090,100.587910,100.587910,196
0.591000,4999.409091,2999.409091,100.590909,100.590909,197
0.594000,4999.406091,2999.406091,100.593909,100.593909,198
0.597000,4999.403092,2999.403092,100.596908,100.596908,199
0.600000,4999.400092,2999.400092,100.599908,100.599908,200
0.603000,4999.397092,2999.397092,100.602908,100.602908,201
0.606000,4999.394093,2999.394093,100.605907,100.605907,202
0.609000,4999.391093,2999.391093,100.608907,100.608907,203
0.612000,4999.388094,2999.388094,100.611906,100.611906,204
0.615000,4999.385094,2999.385094,100.614906,100.614906,205
0.618000,4999.382095,2999.382095,100.617905,100.617905,206
0.621000,4999.379095,2999.379095,100.620905,100.620905,207
0.624000,4999.376096,2999.376096,100.623904,100.623904,208
0.627000,4999.373096,2999.373096,100.626904,100.626904,209
0.630000,4999.370097,2999.370097,100.629903,100.629903,210
0.633000,4999.367097,2999.367097,100.632903,100.632903,211
0.636000,4999.364098,2999.364098,100.635902,100.635902,212
0.639000,4999.361098,2999.361098,100.638902,100.638902,213
0.642000,4999.358098,2999.358098,100.641902,100.641902,214
0.645000,4999.355099,2999.355099,100.644901,100.644901,215
0.648000,4999.352099,2999.352099,100.647901,100.647901,216
0.651000,4999.349100,2999.349100,100.650900,100.650900,217
0.654000,4999.346100,2999.346100,100.653900,100.653900,218
0.657000,4999.343101,2999.343101,100.656899,100.656899,219
