time,P12,P14,P21,P24,P27,P3,P6,P7,P8,T1,T6
1104.2657249054996,90.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1104.2663915721662,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1104.7663915721662,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1104.7669915721663,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1105.2669915721663,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1105.2675915721663,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1105.7675915721663,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1105.7681915721664,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1106.2681915721664,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1106.2687915721665,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1106.7687915721665,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1106.7693915721666,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1107.2693915721666,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1107.2699915721666,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1107.7699915721666,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1107.7705915721667,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1108.2705915721667,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1108.2711915721668,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1108.7711915721668,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1108.7717915721669,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1109.2717915721669,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1109.272391572167,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1109.772391572167,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1109.772991572167,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1110.272991572167,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1110.273591572167,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1110.773591572167,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1110.7741915721672,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1111.2741915721672,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1111.2747915721673,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1111.7747915721673,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1111.7753915721673,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1112.2753915721673,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1112.2759915721674,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1112.7759915721674,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1112.7765915721675,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
1113.2765915721675,100.0,0,8.0,5.0,9.0,6.0,1.0,21.0,6.0,2474,644
