time,P12,P14,P21,P24,P27,P7,P8
4781.115642246364,120.0,0,21.0,8.0,10.0,130.0,0
4781.116142246364,120.0,0,21.0,8.0,10.0,130.0,0
4781.616142246364,120.0,0,21.0,8.0,10.0,130.0,0
4781.616642246364,120.0,0,21.0,8.0,10.0,130.0,0
4782.116642246364,120.0,0,21.0,8.0,10.0,130.0,0
4782.117142246364,120.0,0,21.0,8.0,10.0,130.0,0
4782.617142246364,120.0,0,21.0,8.0,10.0,130.0,0
4782.617642246364,120.0,0,21.0,8.0,10.0,130.0,0
4783.117642246364,120.0,0,21.0,8.0,10.0,130.0,0
4783.118142246364,120.0,0,21.0,8.0,10.0,130.0,0
4783.618142246364,120.0,0,21.0,8.0,10.0,130.0,0
4783.618642246364,120.0,0,21.0,8.0,10.0,130.0,0
4784.118642246364,120.0,0,21.0,8.0,10.0,130.0,0
4784.119142246364,120.0,0,21.0,8.0,10.0,130.0,0
4784.619142246364,120.0,0,21.0,8.0,10.0,130.0,0
4784.6196422463645,120.0,0,20.0,8.0,10.0,130.0,0
4785.1196422463645,120.0,0,20.0,8.0,10.0,130.0,0
4785.120142246365,120.0,0,20.0,8.0,10.0,130.0,0
4785.620142246365,120.0,0,20.0,8.0,10.0,130.0,0
4785.620642246365,120.0,0,20.0,8.0,10.0,130.0,0
4786.120642246365,120.0,0,20.0,8.0,10.0,130.0,0
4786.121142246365,120.0,0,20.0,8.0,10.0,130.0,0
4786.621142246365,120.0,0,20.0,8.0,10.0,130.0,0
4786.621642246365,120.0,0,20.0,8.0,10.0,130.0,0
4787.121642246365,120.0,0,20.0,8.0,10.0,130.0,0
4787.122142246365,120.0,0,20.0,8.0,10.0,130.0,0
4787.622142246365,120.0,0,20.0,8.0,10.0,130.0,0
4787.622642246365,120.0,0,20.0,8.0,10.0,130.0,0
4788.122642246365,120.0,0,20.0,8.0,10.0,130.0,0
4788.123142246365,120.0,0,20.0,8.0,10.0,130.0,0
4788.623142246365,120.0,0,20.0,8.0,10.0,130.0,0
4788.623642246365,120.0,0,20.0,8.0,10.0,130.0,0
4789.123642246365,120.0,0,20.0,8.0,10.0,130.0,0
4789.124142246365,120.0,0,20.0,8.0,10.0,130.0,0
4789.624142246365,120.0,0,20.0,8.0,10.0,130.0,0
4789.6246422463655,120.0,0,20.0,8.0,10.0,130.0,0
4790.1246422463655,120.0,0,20.0,8.0,10.0,130.0,0
4790.125142246366,120.0,0,20.0,8.0,10.0,130.0,0
4790.625142246366,120.0,0,20.0,8.0,10.0,130.0,0
4790.625642246366,120.0,0,20.0,8.0,10.0,130.0,0
4791.125642246366,120.0,0,20.0,8.0,10.0,130.0,0
4791.126142246366,110.0,0,20.0,8.0,10.0,130.0,0
4791.626142246366,110.0,0,20.0,8.0,10.0,130.0,0
4791.626687700911,110.0,0,20.0,8.0,10.0,130.0,0
4792.126687700911,110.0,0,20.0,8.0,10.0,130.0,0
4792.127233155456,110.0,0,20.0,8.0,10.0,130.0,0
4792.627233155456,110.0,0,20.0,8.0,10.0,130.0,0
4792.627778610002,110.0,0,20.0,8.0,10.0,130.0,0
4793.127778610002,110.0,0,20.0,8.0,10.0,130.0,0
4793.128324064547,120.0,0,20.0,8.0,10.0,130.0,0
4793.628324064547,120.0,0,20.0,8.0,10.0,130.0,0
4793.628824064547,120.0,0,20.0,8.0,10.0,130.0,0
4794.128824064547,120.0,0,20.0,8.0,10.0,130.0,0
4794.129324064547,120.0,0,20.0,8.0,10.0,130.0,0
4794.629324064547,120.0,0,20.0,8.0,10.0,130.0,0
4794.629824064547,120.0,0,20.0,8.0,10.0,130.0,0
4795.129824064547,120.0,0,20.0,8.0,10.0,130.0,0
4795.1303240645475,120.0,0,20.0,8.0,10.0,130.0,0
4795.6303240645475,120.0,0,20.0,8.0,10.0,130.0,0
4795.630824064548,120.0,0,20.0,8.0,10.0,130.0,0
4796.130824064548,120.0,0,20.0,8.0,10.0,130.0,0
4796.131324064548,120.0,0,20.0,8.0,10.0,130.0,0
4796.631324064548,120.0,0,20.0,8.0,10.0,130.0,0
4796.631824064548,120.0,0,20.0,8.0,10.0,130.0,0
4797.131824064548,120.0,0,20.0,8.0,10.0,130.0,0
4797.132324064548,130.0,0,20.0,8.0,10.0,130.0,0
4797.632324064548,130.0,0,20.0,8.0,10.0,130.0,0
4797.632785603009,130.0,0,20.0,8.0,10.0,130.0,0
4798.132785603009,130.0,0,20.0,8.0,10.0,130.0,0
4798.133247141471,130.0,0,20.0,8.0,10.0,130.0,0
4798.633247141471,130.0,0,20.0,8.0,10.0,130.0,0
4798.633708679932,130.0,0,20.0,8.0,10.0,130.0,0
4799.133708679932,130.0,0,20.0,8.0,10.0,130.0,0
4799.134170218394,130.0,0,20.0,8.0,10.0,130.0,0
4799.634170218394,130.0,0,20.0,8.0,10.0,130.0,0
4799.634631756855,130.0,0,20.0,8.0,10.0,130.0,0
4800.134631756855,130.0,0,20.0,8.0,10.0,130.0,0
4800.135093295316,130.0,0,20.0,8.0,10.0,130.0,0
4800.635093295316,130.0,0,20.0,8.0,10.0,130.0,0
4800.635554833778,130.0,0,20.0,8.0,10.0,130.0,0
4801.135554833778,130.0,0,20.0,8.0,10.0,130.0,0
4801.136016372239,130.0,0,20.0,8.0,10.0,130.0,0
4801.636016372239,130.0,0,20.0,8.0,10.0,130.0,0
4801.636477910701,130.0,0,20.0,8.0,10.0,130.0,0
4802.136477910701,130.0,0,20.0,8.0,10.0,130.0,0
4802.136939449162,130.0,0,20.0,8.0,10.0,130.0,0
4802.636939449162,130.0,0,20.0,8.0,10.0,130.0,0
4802.637400987624,130.0,0,20.0,8.0,10.0,130.0,0
4803.137400987624,130.0,0,20.0,8.0,10.0,130.0,0
4803.137862526085,130.0,0,20.0,8.0,10.0,130.0,0
4803.637862526085,130.0,0,20.0,8.0,10.0,130.0,0
4803.638324064546,130.0,0,20.0,8.0,10.0,130.0,0
4804.138324064546,130.0,0,20.0,8.0,10.0,130.0,0
4804.138785603008,130.0,0,20.0,8.0,10.0,130.0,0
4804.638785603008,130.0,0,20.0,8.0,10.0,130.0,0
4804.639247141469,130.0,0,20.0,8.0,10.0,130.0,0
4805.139247141469,130.0,0,20.0,8.0,10.0,130.0,0
4805.139708679931,130.0,0,20.0,8.0,10.0,130.0,0
4805.639708679931,130.0,0,20.0,8.0,10.0,130.0,0
4805.640170218392,130.0,0,20.0,8.0,10.0,130.0,0
4806.140170218392,130.0,0,20.0,8.0,10.0,130.0,0
4806.1406317568535,130.0,0,20.0,8.0,10.0,130.0,0
4806.6406317568535,130.0,0,20.0,8.0,10.0,130.0,0
4806.641093295315,130.0,0,20.0,8.0,10.0,130.0,0
4807.141093295315,130.0,0,20.0,8.0,10.0,130.0,0
4807.141554833776,130.0,0,20.0,8.0,10.0,130.0,0
4807.641554833776,130.0,0,20.0,8.0,10.0,130.0,0
4807.642016372238,130.0,0,20.0,8.0,10.0,130.0,0
4808.142016372238,130.0,0,20.0,8.0,10.0,130.0,0
4808.142477910699,130.0,0,20.0,8.0,10.0,130.0,0
4808.642477910699,130.0,0,20.0,8.0,10.0,130.0,0
4808.642939449161,130.0,0,20.0,8.0,10.0,130.0,0
4809.142939449161,130.0,0,20.0,8.0,10.0,130.0,0
4809.143400987622,130.0,0,20.0,8.0,10.0,130.0,0
4809.643400987622,130.0,0,20.0,8.0,10.0,130.0,0
4809.6438625260835,130.0,0,20.0,8.0,10.0,130.0,0
4810.1438625260835,130.0,0,20.0,8.0,10.0,130.0,0
4810.144324064545,130.0,0,20.0,8.0,10.0,130.0,0
4810.644324064545,130.0,0,20.0,8.0,10.0,130.0,0
4810.644785603006,130.0,0,20.0,8.0,10.0,130.0,0
4811.144785603006,130.0,0,20.0,8.0,10.0,130.0,0
4811.145247141468,130.0,0,20.0,8.0,10.0,130.0,0
4811.645247141468,130.0,0,20.0,8.0,10.0,130.0,0
4811.645708679929,130.0,0,20.0,8.0,10.0,130.0,0
4812.145708679929,130.0,0,20.0,8.0,10.0,130.0,0
4812.146170218391,130.0,0,20.0,8.0,10.0,130.0,0
4812.646170218391,130.0,0,20.0,8.0,10.0,130.0,0
4812.646631756852,130.0,0,20.0,8.0,10.0,130.0,0
4813.146631756852,130.0,0,20.0,8.0,10.0,130.0,0
4813.147093295313,130.0,0,20.0,8.0,10.0,130.0,0
4813.647093295313,130.0,0,20.0,8.0,10.0,130.0,0
4813.647554833775,130.0,0,20.0,8.0,10.0,130.0,0
4814.147554833775,130.0,0,20.0,8.0,10.0,130.0,0
4814.148016372236,130.0,0,20.0,8.0,10.0,130.0,0
4814.648016372236,130.0,0,20.0,8.0,10.0,130.0,0
