time,P12,P14,P21,P24,P27,P3,P6,P7,P8
740.1406146560822,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
740.5406146560822,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
740.5413646560822,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
740.9413646560822,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
740.9421146560823,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
741.3421146560822,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
741.3428646560823,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
741.7428646560822,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
741.7436146560823,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
742.1436146560823,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
742.1443646560823,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
742.5443646560823,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
742.5451146560823,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
742.9451146560823,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
742.9458646560823,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
743.3458646560823,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
743.3466146560824,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
743.7466146560823,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
743.7473646560824,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
744.1473646560823,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
744.1481146560824,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
744.5481146560824,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
744.5488646560824,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
744.9488646560824,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
744.9496146560824,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
745.3496146560824,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
745.3503646560824,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
745.7503646560824,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
745.7511146560824,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
746.1511146560824,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
746.1518646560825,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
746.5518646560824,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
746.5526146560825,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
746.9526146560825,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
746.9533646560825,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
747.3533646560825,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
747.3541146560825,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
747.7541146560825,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
747.7548646560825,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
748.1548646560825,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
748.1556146560825,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
748.5556146560825,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
748.5563646560826,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
748.9563646560825,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
748.9571146560826,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
749.3571146560826,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
749.3578646560826,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
749.7578646560826,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
749.7586146560826,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
750.1586146560826,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
750.1593646560826,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
750.5593646560826,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
750.5601146560826,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
750.9601146560826,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
750.9608646560827,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
751.3608646560826,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
751.3616146560827,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
751.7616146560827,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
751.7623646560827,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
752.1623646560827,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
752.1631146560827,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
752.5631146560827,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
752.5638646560827,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
752.9638646560827,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
752.9646146560827,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
753.3646146560827,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
753.3653646560828,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
753.7653646560827,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
753.7661146560828,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
754.1661146560828,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
754.1668646560828,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
754.5668646560828,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
754.5676146560828,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
754.9676146560828,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
754.9683646560828,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
755.3683646560828,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
755.3691146560828,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
755.7691146560828,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
755.7698646560829,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
756.1698646560828,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
756.1706146560829,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
756.5706146560829,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
756.5713646560829,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
756.9713646560829,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
756.9721146560829,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
757.3721146560829,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
757.3728646560829,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
757.7728646560829,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
757.7736146560829,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
758.1736146560829,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
758.174364656083,70.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
758.5743646560829,70.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
758.575114656083,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
758.975114656083,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
758.975864656083,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
759.375864656083,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
759.376614656083,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
759.776614656083,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
759.777364656083,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
760.177364656083,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
760.178114656083,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
760.578114656083,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
760.578864656083,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
760.978864656083,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
760.9796146560831,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
761.379614656083,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
761.3803646560831,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
761.7803646560831,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
761.7811146560831,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
762.1811146560831,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
762.1818646560831,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
762.5818646560831,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
762.5826146560831,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
762.9826146560831,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
762.9833646560832,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
763.3833646560831,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
763.3841146560832,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
763.7841146560831,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
763.7848646560832,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
764.1848646560832,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
764.1856146560832,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
764.5856146560832,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
764.5863646560832,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
764.9863646560832,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
764.9871146560832,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
765.3871146560832,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
765.3878646560833,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
765.7878646560832,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
765.7886146560833,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
766.1886146560832,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
766.1893646560833,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
766.5893646560833,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
766.5901146560833,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
766.9901146560833,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
766.9908646560833,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
767.3908646560833,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
767.3916146560833,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
767.7916146560833,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
767.7923646560834,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
768.1923646560833,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
768.1931146560834,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
768.5931146560833,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
768.5938646560834,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
768.9938646560834,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
768.9946146560834,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
769.3946146560834,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
769.3953646560834,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
769.7953646560834,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
769.7961146560834,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
770.1961146560834,60.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
770.1968646560834,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
770.5968646560834,50.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
770.5976146560835,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
770.9976146560834,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
770.9983646560835,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
771.3983646560835,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
771.3991146560835,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
771.7991146560835,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
771.7998646560835,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
772.1998646560835,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
772.2006146560835,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
772.6006146560835,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
772.6013646560835,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
773.0013646560835,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
773.0021146560836,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
773.4021146560835,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
773.4028646560836,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
773.8028646560836,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
773.8036146560836,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
774.2036146560836,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
774.2043646560836,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
774.6043646560836,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
774.6051146560836,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
775.0051146560836,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
775.0058646560836,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
775.4058646560836,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
775.4066146560837,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
775.8066146560836,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
775.8073646560837,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
776.2073646560837,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
776.2081146560837,40.0,0.0,2.0,8.0,7.0,3.5,1.0,11.0,2.0
